Player,REB,AST,STL,BLK,TOV,PF,PTS,Salary
Cody Zeller,6.8,1.8,0.6,0.4,1.1,2.5,9.4,15415730
Cole Anthony,4.7,4.1,0.6,0.4,2.3,2.1,12.9,3285120
Cole Anthony,5.4,5.7,0.7,0.3,2.6,2.6,16.3,3449400
Cole Anthony,4.8,3.9,0.6,0.5,1.5,2.6,13,3613680
Collin Sexton,2.9,3,0.5,0.1,2.3,2.3,16.7,4068600
Collin Sexton,3.1,3,1,0.1,2.4,2.2,20.8,4764960
Collin Sexton,3.1,4.4,1,0.2,2.8,2.6,24.3,4991880
Collin Sexton,2.2,2.9,0.6,0.1,1.8,2.3,14.3,16500000
Corey Kispert,2.7,1.1,0.5,0.3,0.6,1.2,8.2,3383640
Corey Kispert,2.8,1.2,0.4,0.1,0.7,1.3,11.1,3552840
Cory Joseph,3.4,3.9,1.1,0.3,1,1.6,6.5,7945000
Cory Joseph,2.6,3.5,0.7,0.3,1.1,1.8,6.4,12000000
Cory Joseph,2.5,3.4,1,0.3,1.3,2.2,8.2,12600000
Cory Joseph,2.7,3.6,0.6,0.3,1.3,2.3,8,7310000
Cory Joseph,1.7,3.5,0.5,0.1,0.9,1.4,6.9,5155500
Cristiano Felício,3.6,0.6,0.2,0.1,0.6,1.2,4,8470980
D.J. Augustin,2.5,5.3,0.6,0,1.6,1.4,11.7,7250000
D.J. Augustin,2.1,4.6,0.6,0,1.5,1.3,10.5,7250000
D.J. Augustin,1.6,3.3,0.5,0,1.1,1,7.7,6666667
D.J. Augustin,1.2,1.9,0.3,0,1,0.7,5.3,7622467
D.J. Wilson,4.6,1.1,0.4,0.4,0.7,1.8,5.8,2534280
D'Angelo Russell,3.9,7,1.2,0.2,3.1,1.7,21.1,7019698
D'Angelo Russell,3.9,6.3,1.1,0.3,3.3,1.9,23.1,27285000
D'Angelo Russell,2.6,5.8,1.1,0.4,2.7,1.6,19,28649250
D'Angelo Russell,3.3,7.1,1,0.3,2.5,2,18.1,30013500
D'Angelo Russell,3,6.2,1,0.4,2.6,2,17.8,31377750
Daishen Nix,1.7,2.3,0.5,0.1,1.5,1,4,1563518
Dalano Banton,1.9,1.5,0.4,0.2,0.8,1.1,3.2,925258
Damian Jones,3.7,0.6,0.5,0.7,0.5,2.7,5.6,2305057
Damian Jones,3.1,0.7,0.3,0.7,0.7,2,4.7,1467242
Damian Jones,4.4,1.2,0.5,0.8,1.1,2.3,8.1,1977011
Damian Lillard,4.6,6.9,1.1,0.4,2.7,1.9,25.8,27977689
Damian Lillard,4.3,8,1.1,0.3,2.9,1.7,30,29802321
Damian Lillard,4.2,7.5,0.9,0.3,3,1.5,28.8,31626953
Damian Lillard,4.1,7.3,0.6,0.4,2.9,1.3,24,39344900
Damian Lillard,4.8,7.3,0.9,0.3,3.3,1.9,32.2,42492492
Damion Lee,3.2,1.3,0.7,0.1,0.5,1.6,6.5,1762796
Damion Lee,3.2,1,0.6,0.1,0.6,1.5,7.4,1910860
Damion Lee,3,1.3,0.4,0.1,1.1,1.6,8.2,1836090
Damyean Dotson,3.6,1.8,0.8,0.1,1,1.8,10.7,1378242
Damyean Dotson,1.9,1.2,0.5,0.1,0.4,0.9,6.7,1618520
