Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
70,2024-10-06,Bills,Texans,-1,1,1,0.72,0.28,146473,0,,,,,,,,,,,,,,,,,,,,,,,
71,2024-10-06,Ravens,Bengals,2.5,-2.5,2.5,0.57,0.43,158635,1,,,,,,,,,,,,,,,,,,,,,,,
72,2024-10-06,Browns,Commanders,-3,3,3,0.51,0.49,122683,0,,,,,,,,,,,,,,,,,,,,,,,
73,2024-10-06,Raiders,Broncos,-3,3,3,0.55,0.45,99298,0,,,,,,,,,,,,,,,,,,,,,,,
74,2024-10-06,Cardinals,49ers,-7,7,7,0.47,0.53,121608,0,,,,,,,,,,,,,,,,,,,,,,,
75,2024-10-06,Giants,Seahawks,-7,7,7,0.29,0.71,123249,0,,,,,,,,,,,,,,,,,,,,,,,
76,2024-10-06,Packers,Rams,3,-3,3,0.61,0.39,146417,1,,,,,,,,,,,,,,,,,,,,,,,
77,2024-10-06,Cowboys,Steelers,-2.5,2.5,2.5,0.63,0.37,240571,0,,,,,,,,,,,,,,,,,,,,,,,
78,2024-10-07,Saints,Chiefs,-5.5,5.5,5.5,0.59,0.41,345003,0,,,,,,,,,,,,,,,,,,,,,,,
79,2024-10-10,49ers,Seahawks,3.5,-3.5,3.5,0.7,0.3,319558,1,,,,,,,,,,,,,,,,,,,,,,,
80,2024-10-13,Jaguars,Bears,1.5,-1.5,1.5,0.27,0.73,140838,1,,,,,,,,,,,,,,,,,,,,,,,
81,2024-10-13,Commanders,Ravens,-7,7,7,0.29,0.71,169288,0,,,,,,,,,,,,,,,,,,,,,,,
82,2024-10-13,Texans,Patriots,6.5,-6.5,6.5,0.79,0.21,136900,1,,,,,,,,,,,,,,,,,,,,,,,
83,2024-10-13,Browns,Eagles,-8.5,8.5,8.5,0.38,0.62,103751,0,,,,,,,,,,,,,,,,,,,,,,,
84,2024-10-13,Colts,Titans,-2.5,2.5,2.5,0.72,0.28,99308,0,,,,,,,,,,,,,,,,,,,,,,,
85,2024-10-13,Cardinals,Packers,-5.5,5.5,5.5,0.58,0.42,127555,0,,,,,,,,,,,,,,,,,,,,,,,
86,2024-10-13,Buccaneers,Saints,3.5,-3.5,3.5,0.66,0.34,131084,1,,,,,,,,,,,,,,,,,,,,,,,
87,2024-10-13,Steelers,Raiders,3.5,-3.5,3.5,0.74,0.26,82601,1,,,,,,,,,,,,,,,,,,,,,,,
88,2024-10-13,Chargers,Broncos,3,-3,3,0.4,0.6,103064,1,,,,,,,,,,,,,,,,,,,,,,,
89,2024-10-13,Lions,Cowboys,3.5,-3.5,3.5,0.68,0.32,195329,1,,,,,,,,,,,,,,,,,,,,,,,
90,2024-10-13,Falcons,Panthers,6,-6,6,0.79,0.21,130978,1,,,,,,,,,,,,,,,,,,,,,,,
91,2024-10-13,Bengals,Giants,4,-4,4,0.75,0.25,256292,1,,,,,,,,,,,,,,,,,,,,,,,
92,2024-10-14,Bills,Jets,1,-1,1,0.79,0.21,348315,1,,,,,,,,,,,,,,,,,,,,,,,
93,2024-10-17,Broncos,Saints,2.5,-2.5,2.5,0.55,0.45,281511,1,,,,,,,,,,,,,,,,,,,,,,,
94,2024-10-20,Patriots,Jaguars,-7,7,7,0.62,0.38,101681,0,,,,,,,,,,,,,,,,,,,,,,,
95,2024-10-20,Dolphins,Colts,-3,3,3,0.45,0.55,83854,0,,,,,,,,,,,,,,,,,,,,,,,
96,2024-10-20,Seahawks,Falcons,-3,3,3,0.5,0.5,142015,0,,,,,,,,,,,,,,,,,,,,,,,
97,2024-10-20,Texans,Packers,-3,3,3,0.67,0.33,130080,0,,,,,,,,,,,,,,,,,,,,,,,
98,2024-10-20,Bengals,Browns,5,-5,5,0.75,0.25,113747,1,,,,,,,,,,,,,,,,,,,,,,,
99,2024-10-20,Eagles,Giants,3,-3,3,0.78,0.22,139475,1,,,,,,,,,,,,,,,,,,,,,,,
100,2024-10-20,Lions,Vikings,-1.5,1.5,1.5,0.74,0.26,178411,0,,,,,,,,,,,,,,,,,,,,,,,
101,2024-10-20,Titans,Bills,-9.5,9.5,9.5,0.19,0.81,97652,0,,,,,,,,,,,,,,,,,,,,,,,
102,2024-10-20,Panthers,Commanders,-10,10,10,0.18,0.82,125187,0,,,,,,,,,,,,,,,,,,,,,,,
103,2024-10-20,Raiders,Rams,-7,7,7,0.39,0.61,80723,0,,,,,,,,,,,,,,,,,,,,,,,
104,2024-10-20,Chiefs,49ers,-2.5,2.5,2.5,0.78,0.22,166491,0,,,,,,,,,,,,,,,,,,,,,,,
105,2024-10-20,Jets,Steelers,2.5,-2.5,2.5,0.59,0.41,229302,1,,,,,,,,,,,,,,,,,,,,,,,
106,2024-10-21,Ravens,Buccaneers,4,-4,4,0.64,0.36,298318,1,,,,,,,,,,,,,,,,,,,,,,,
107,2024-10-21,Chargers,Cardinals,1.5,-1.5,1.5,0.57,0.43,204179,1,,,,,,,,,,,,,,,,,,,,,,,
108,2024-10-24,Vikings,Rams,2.5,-2.5,2.5,0.7,0.3,285302,1,,,,,,,,,,,,,,,,,,,,,,,
109,2024-10-27,Cardinals,Dolphins,-4.5,4.5,4.5,0.5,0.5,126056,0,,,,,,,,,,,,,,,,,,,,,,,
110,2024-10-27,Jets,Patriots,7,-7,7,0.77,0.23,89897,1,,,,,,,,,,,,,,,,,,,,,,,
111,2024-10-27,Falcons,Buccaneers,1.5,-1.5,1.5,0.62,0.38,118271,1,,,,,,,,,,,,,,,,,,,,,,,
112,2024-10-27,Titans,Lions,-12.5,12.5,12.5,0.12,0.88,96435,0,,,,,,,,,,,,,,,,,,,,,,,
113,2024-10-27,Packers,Jaguars,3.5,-3.5,3.5,0.8,0.2,160140,1,,,,,,,,,,,,,,,,,,,,,,,
114,2024-10-27,Colts,Texans,-5,5,5,0.23,0.77,106613,0,,,,,,,,,,,,,,,,,,,,,,,
115,2024-10-27,Ravens,Browns,7,-7,7,0.82,0.18,151956,1,,,,,,,,,,,,,,,,,,,,,,,
116,2024-10-27,Eagles,Bengals,-2.5,2.5,2.5,0.64,0.36,146064,0,,,,,,,,,,,,,,,,,,,,,,,
117,2024-10-27,Bills,Seahawks,3,-3,3,0.66,0.34,116261,1,,,,,,,,,,,,,,,,,,,,,,,
118,2024-10-27,Saints,Chargers,-7.5,7.5,7.5,0.46,0.54,72711,0,,,,,,,,,,,,,,,,,,,,,,,
119,2024-10-27,Bears,Commanders,-1.5,1.5,1.5,0.38,0.62,114817,0,,,,,,,,,,,,,,,,,,,,,,,
120,2024-10-27,Panthers,Broncos,-13,13,13,0.29,0.71,90063,0,,,,,,,,,,,,,,,,,,,,,,,
121,2024-10-27,Chiefs,Raiders,8.5,-8.5,8.5,0.82,0.18,113540,1,,,,,,,,,,,,,,,,,,,,,,,
