Player,Season,Cap,cap_pct,Rk,Team,Cap.Hit,Salary,Signed.Using,Guaranteed,player_season,tag.y,Pos,Age,G,MP,PER,TS,X3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP
Jerami Grant,2016,70000000,0.0121,425,PHI,845059,980431,Draft Pick,845059,grantje01_2016,grantje01,PF,21,77,2066,12.6,0.506,0.244,0.538,5,14.3,9.5,10.4,1.3,4.7,12.9,18,0.5,1.6,2.1,0.05,-2.1,0.4,-1.7,0.1
Jerami Grant,2017,94143000,0.0104,420,OKC,980431,1051245,,,grantje01_2017,grantje01,PF,22,80,1531,10.1,0.556,0.354,0.448,2.7,12.1,7.4,4.2,1.1,4.1,10.1,12.1,1.1,1.8,2.9,0.091,-2.1,0.8,-1.3,0.3
Jerami Grant,2018,99093000,0.0154,365,OKC,1524305,,Draft Pick,1524305,grantje01_2018,grantje01,PF,23,81,1647,16.2,0.607,0.241,0.526,5.6,16.3,10.7,5.1,0.9,4.2,8.8,16,3.5,1.9,5.4,0.156,0,0.3,0.3,1
Jerami Grant,2019,101869000,0.085,146,OKC,8653847,9346153,,18000000,grantje01_2019,grantje01,PF,24,80,2612,13.8,0.592,0.356,0.269,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4,3.3,7.3,0.134,-0.4,0.6,0.2,1.5
Jerami Grant,2020,109140000,0.0856,134,DEN,9346153,9346153,,9346153,grantje01_2020,grantje01,PF,25,71,1892,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8,18,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7
Jerami Grant,2021,109140000,0.1745,57,DET,19047619,20000000,Sign and Trade,60000000,grantje01_2021,grantje01,SF,26,54,1829,16.9,0.556,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,1.6,1.6,3.2,0.083,2,-1.2,0.9,1.3
Jeremy Evans,2013,58044000,0.0309,294,UTA,1794872,1794872,Early Bird Rights,5250000,evansje01_2013,evansje01,PF,25,37,215,19.9,0.641,0.023,0.75,14,17.6,15.8,8,2,4.8,12,14.1,0.7,0.3,0.9,0.208,0.9,1.3,2.2,0.2
Jeremy Evans,2014,58679000,0.0283,288,UTA,1660257,1660257,Early Bird Rights,3455128,evansje01_2014,evansje01,SF,26,66,1209,16.2,0.549,0.006,0.226,11.1,18.7,14.8,6.1,1.8,3,9.9,15.3,1.9,1,2.8,0.112,-0.7,-0.2,-0.9,0.3
Jeremy Evans,2015,63065000,0.0285,296,UTA,1794871,,Early Bird Rights,1794871,evansje01_2015,evansje01,SF,27,38,266,20.5,0.636,0.086,0.5,11.3,19.4,15.4,7.9,2.2,3.6,6.6,13.1,0.9,0.4,1.3,0.241,2,2.1,4.2,0.4
Jeremy Evans,2016,70000000,0.0157,379,DAL,1100602,1227286,Early Bird Rights,2327888,evansje01_2016,evansje01,SF,28,30,251,12.6,0.62,0.333,0.438,4.8,18.8,11.8,1.2,1.2,3,10.9,11.7,0.3,0.3,0.6,0.119,-1.5,1,-0.4,0.1
Jeremy Evans,2018,99093000,5.00E-04,534,ATL,50000,,,50000,evansje01_2018,evansje01,SF,30,1,5,10.4,1,0,0,22.3,0,11.2,0,0,0,50,17.5,0,0,0,-0.028,-5.7,-4.2,-9.9,0
Jeremy Lamb,2013,58044000,0.0348,281,OKC,2020200,2020200,1st Round Pick,4131360,lambje01_2013,lambje01,SF,20,23,147,11.2,0.479,0.441,0.206,4.2,9.4,7,5.4,0.7,1,7.5,24.8,0.1,0.1,0.2,0.058,-2.7,-2.7,-5.4,-0.1
Jeremy Lamb,2014,58679000,0.036,259,OKC,2111160,2111160,1st Round Pick,4313160,lambje01_2014,lambje01,SG,21,78,1538,13.4,0.522,0.406,0.105,2.1,11.3,6.9,11.8,1.8,1.4,8.7,20.1,1.4,1.8,3.3,0.102,-0.1,0.2,0.1,0.8
Jeremy Lamb,2015,63065000,0.0349,265,OKC,2202000,3034356,1st Round Pick,5236356,lambje01_2015,lambje01,SG,22,47,633,14.9,0.538,0.444,0.22,1.4,16.5,9.1,10.9,1.7,0.7,9,20.5,1,0.7,1.6,0.123,0.9,0.8,1.6,0.6
Jeremy Lamb,2016,70000000,0.0433,225,CHO,3034356,7000000,Rookie scale extension,24034356,lambje01_2016,lambje01,SG,23,66,1227,15.9,0.529,0.355,0.173,3.9,18.7,11.2,10.9,1.7,2,8.4,22,1,1.8,2.7,0.107,0.1,0.7,0.8,0.9
Jeremy Lamb,2017,94143000,0.0692,153,CHO,6511628,7000000,Rookie scale extension,21000000,lambje01_2017,lambje01,SG,24,62,1143,17,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,2.7,0.115,0.5,0.1,0.5,0.7
Jeremy Lamb,2018,99093000,0.0706,159,CHO,7000000,7488372,Rookie scale extension,14488372,lambje01_2018,lambje01,SG,25,80,1967,17,0.559,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3,1.9,4.9,0.12,1.3,0.2,1.6,1.8
Jeremy Lamb,2019,101869000,0.0735,165,CHO,7488372,,Rookie scale extension,7488372,lambje01_2019,lambje01,SG,26,79,2250,17.3,0.552,0.337,0.266,3.1,18.1,10.4,11.9,1.9,1.2,6.8,22.5,3.3,2,5.3,0.113,1.2,0,1.2,1.8
Jeremy Lamb,2020,109140000,0.0962,120,IND,10500000,10500000,,31500000,lambje01_2020,lambje01,SG,27,46,1291,14,0.547,0.33,0.23,2.1,14.8,8.5,10.5,2.1,1.5,8.7,19.6,0.9,1.8,2.7,0.099,-1.1,0.8,-0.4,0.5
Jeremy Lamb,2021,109140000,0.0962,116,IND,10500000,10500000,Cap Space,21000000,lambje01_2021,lambje01,SG,28,36,765,15.8,0.587,0.464,0.272,3.6,14.9,9.3,9.4,2.1,2.4,6.6,18.4,1.2,0.9,2.1,0.132,0.9,0.4,1.3,0.6
Jeremy Lin,2013,58044000,0.1443,73,HOU,8374646,8374646,Cap Space,25123938,linje01_2013,linje01,PG,24,82,2640,14.9,0.538,0.287,0.307,1.4,9.1,5.3,29.4,2.5,0.8,18.8,20.8,3,2.5,5.4,0.099,-0.1,0.4,0.3,1.5
Jeremy Lin,2014,58679000,0.1427,73,HOU,8374646,8374646,Cap Space,16749292,linje01_2014,linje01,PG,25,71,2054,14.3,0.572,0.346,0.4,2,7.8,5.1,22.3,1.7,1,18.4,20.4,2.8,1.6,4.4,0.103,0.2,-0.4,-0.2,0.9
Jeremy Lin,2015,63065000,0.1328,80,LAL,8374646,,Cap Space,8374646,linje01_2015,linje01,PG,26,74,1907,15.6,0.539,0.269,0.41,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,1.8,0.8,2.7,0.068,0.1,-0.5,-0.4,0.8
Jeremy Lin,2016,70000000,0.03,284,CHO,2100000,2200000,BAE,2100000,linje01_2016,linje01,SG,27,78,2048,13.8,0.534,0.31,0.401,2.2,11.4,6.8,18.6,1.4,1.7,14.9,22.2,1.3,2.3,3.5,0.082,-1,0,-0.9,0.5
Jeremy Lin,2017,94143000,0.122,90,BRK,11483254,12000000,Cap Space,23483254,linje01_2017,linje01,PG,28,36,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,2.1,0.116,1.9,0.1,2,0.9
Jeremy Lin,2018,99093000,0.1211,104,BRK,12000000,12516746,Cap Space,12000000,linje01_2018,linje01,PG,29,1,25,15.9,0.597,0.167,0.583,0,0,0,27.1,0,0,16.6,31.3,0,0,0,0.087,-1,-4.4,-5.4,0
Jeremy Lin,2019,101869000,0.1352,89,ATL,13768421,,Cap Space,13768421,linje01_2019,linje01,PG,30,74,1436,13.5,0.558,0.346,0.388,1.6,11.7,6.6,23.4,1.5,0.8,16.4,21.8,1.2,0.9,2.1,0.07,-1.4,-0.9,-2.2,-0.1
Jeremy Pargo,2013,58044000,0.0172,369,CLE,1000000,1000000,BAE,1000000,pargoje01_2013,pargoje01,PG-SG,26,39,655,10.4,0.478,0.296,0.248,1.3,7.5,4.3,23,1,0.2,15.3,22.5,-0.2,0.1,0,-0.002,-1.5,-1.8,-3.2,-0.2
Jeremy Tyler,2013,58044000,0.0131,471,GSW,762195,762195,Cap Space,862195,tylerje01_2013,tylerje01,C,21,21,68,6.2,0.413,0,0.25,10,22.3,16.3,2.3,0.7,2.3,18.4,21.5,-0.2,0.1,-0.1,-0.049,-7.3,-1.6,-8.9,-0.1
Jeremy Tyler,2014,58679000,0.0017,531,NYK,100000,100000,,100000,tylerje01_2014,tylerje01,C,22,41,398,13,0.532,0,0.414,10.9,21.6,16.1,3.3,0.8,4.5,15.9,19.1,0.1,0.4,0.5,0.064,-4.4,-1.2,-5.5,-0.4
Jeremy Tyler,2014,58679000,0.0017,533,ATL,100000,100000,,100000,tylerje01_2014,tylerje01,C,22,41,398,13,0.532,0,0.414,10.9,21.6,16.1,3.3,0.8,4.5,15.9,19.1,0.1,0.4,0.5,0.064,-4.4,-1.2,-5.5,-0.4
Jeremy Tyler,2014,58679000,0.0095,482,NYK,556584,556584,Minimum Salary,556584,tylerje01_2014,tylerje01,C,22,41,398,13,0.532,0,0.414,10.9,21.6,16.1,3.3,0.8,4.5,15.9,19.1,0.1,0.4,0.5,0.064,-4.4,-1.2,-5.5,-0.4
Jerian Grant,2016,70000000,0.0225,311,NYK,1572360,1643040,1st Round pick,3215400,grantje02_2016,grantje02,PG,23,76,1265,11.2,0.479,0.256,0.315,2,10.2,6.2,21.8,2,0.6,16.3,19,-0.2,1,0.8,0.03,-2.8,-0.3,-3.1,-0.3
Jerian Grant,2017,94143000,0.0175,326,CHI,1643040,1713840,1st Round pick,3356880,grantje02_2017,grantje02,PG,24,63,1028,13.2,0.555,0.445,0.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16,1.4,1.2,2.5,0.119,-1.3,1.4,0.1,0.6
Jerian Grant,2018,99093000,0.0173,345,CHI,1713840,2639314,1st Round pick,4353154,grantje02_2018,grantje02,PG,25,74,1686,14.3,0.528,0.372,0.374,1.9,9.3,5.5,30.1,1.8,0.4,13.2,17.4,2.3,1,3.3,0.094,-0.9,-0.5,-1.3,0.3
Jerian Grant,2019,101869000,0.0259,283,ORL,2639314,,1st Round pick,2639314,grantje02_2019,grantje02,PG,26,60,939,10.8,0.526,0.5,0.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,0.5,1.1,1.7,0.085,-2.9,1.3,-1.6,0.1
Jermaine O'Neal,2013,58044000,0.0147,392,PHO,854389,1352181,Cap Space,854389,onealje01_2013,onealje01,C,34,55,1029,16.7,0.538,0,0.31,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,0.7,1.3,2,0.092,-1.9,0.6,-1.3,0.2
