date,TeamA,TeamB,bestodds,bestodds,pct bets A,pct bet B,Number of bets,TeamA,TeamB,A_bestodds,B_bestodds,pct bets A,pct bet B,c_Total,c_TotalResult,c_AwaySP,c_HomeSP,c_AwayScore,c_HomeScore
4/2/2024,NYY,AZ,o9+105,u8.5+100,0.65,0.35,44080,NYY,AZ,440,-109,0.48,0.52,8.5,Under,N. Cortes Jr.,Z. Gallen,0,7
4/2/2024,STL,SD,o8+100,u8-110,0.71,0.29,35850,STL,SD,148,-135,0.22,0.78,7.5,Under,M. Mikolas,Y. Darvish,5,2
4/2/2024,BOS,OAK,o8.5+100,u8+105,0.85,0.15,54682,BOS,OAK,-145,135,0.95,0.05,8.5,Over,B. Bello,A. Wood,5,4
4/2/2024,CLE,SEA,o7-118,u7+100,0.38,0.62,34573,CLE,SEA,104,-115,0.68,0.32,7,Push,S. Bieber,L. Castillo,5,2
4/2/2024,SF,LAD,o8.5+100,u8.5-110,0.58,0.42,26682,SF,LAD,130,-142,0.16,0.84,8.5,Over,L. Webb,R. Brasier,4,5
4/3/2024,KC,BAL,o7-118,u7+102,0.38,0.62,37845,KC,BAL,150,-165,0.26,0.74,7,Push,C. Ragans,C. Burnes,3,4
4/3/2024,TEX,TB,o7.5-110,u7.5-104,0.36,0.64,25965,TEX,TB,107,-120,0.76,0.24,7.5,Under,N. Eovaldi,A. Civale,4,1
4/3/2024,LAA,MIA,o9+100,u8.5+100,0.38,0.62,32781,LAA,MIA,105,-110,0.29,0.71,8.5,Over,P. Sandoval,A. Puk,10,2
4/3/2024,MIN,MIL,o9+100,u8.5+100,0.36,0.64,25314,MIN,MIL,-110,-105,0.7,0.3,9,Over,C. Paddack,J. Ross,7,3
4/3/2024,BOS,OAK,o7.5-105,u7.5-110,0.12,0.88,43166,BOS,OAK,-162,145,0.94,0.06,7.5,Under,N. Pivetta,R. Stripling,1,0
4/3/2024,NYY,AZ,o8.5-112,u8.5+102,0.4,0.6,27162,NYY,AZ,-115,105,0.52,0.48,9,Over,C. Rodon,M. Kelly,6,5
4/3/2024,CIN,PHI,o7.5-102,u7.5-105,0.44,0.56,27621,CIN,PHI,164,-177,0.2,0.8,7.5,Under,F. Montas,Z. Wheeler,4,1
4/3/2024,STL,SD,o8.5+100,u8.5-110,0.43,0.57,27066,STL,SD,525,-155,0.16,0.84,8.5,Under,Z. Thompson,J. Musgrove,2,3
4/3/2024,CLE,SEA,o7.5+105,u7.5-114,0.6,0.4,18463,CLE,SEA,135,-150,0.48,0.52,7.5,Over,L. Allen,G. Kirby,8,0
4/3/2024,PIT,WAS,o8.5-104,u8.5+100,0.25,0.75,29433,PIT,WAS,-145,135,0.77,0.23,8.5,Under,M. Keller,T. Williams,3,5
4/3/2024,COL,CHC,o7.5+100,u7+100,0.69,0.31,31549,COL,CHC,185,-195,0.07,0.93,7,Over,C. Quantrill,L. Little,8,9
4/3/2024,TOR,HOU,o9+110,u9-117,0.53,0.47,35563,TOR,HOU,143,-155,0.33,0.67,9,Under,C. Bassitt,C. Javier,0,8
4/3/2024,SF,LAD,o8.5-102,u8.5-110,0.5,0.5,49724,SF,LAD,215,-240,0.07,0.93,8.5,Over,K. Harrison,T. Glasnow,4,5
4/4/2024,DET,NYM,o7.5+100,u7.5-110,0.47,0.53,26662,DET,NYM,120,-130,0.33,0.67,7.5,Over,C. Mize,A. Houser,6,3
4/4/2024,PIT,WAS,o9+100,u8.5-105,0.35,0.65,38960,PIT,WAS,-120,110,0.78,0.22,8.5,Over,M. Perez,Jos. Gray,7,4
4/4/2024,CLE,MIN,o7.5+105,u7+100,0.28,0.72,40748,CLE,MIN,145,-155,0.56,0.44,7,Under,T. Bibee,P. Lopez,4,2
4/4/2024,MIA,STL,o8.5+100,u8+100,0.46,0.54,41944,MIA,STL,130,-142,0.13,0.87,8,Over,R. Weathers,L. Lynn,5,8
4/4/2024,DET,NYM,o7.5-110,u7.5+100,0.75,0.25,13333,DET,NYM,108,-118,0.58,0.42,7.5,Over,C. Mize,A. Houser,6,3
4/4/2024,CHW,KC,o8.5-105,u8-104,0.33,0.67,46801,CHW,KC,170,-170,0.23,0.77,8,Over,M. Soroka,S. Lugo,1,10
4/5/2024,TOR,NYY,o8.5-114,u8.5+100,0.42,0.58,54510,TOR,NYY,140,-155,0.13,0.87,8.5,Under,Y. Kikuchi,M. Stroman,3,0
4/5/2024,OAK,DET,o7.5+105,u7+100,0.28,0.72,46735,OAK,DET,650,-238,0.09,0.91,7,Over,J. Sears,T. Skubal,4,5
4/5/2024,LAD,CHC,o7.5+102,u7.5-112,0.6,0.4,40621,LAD,CHC,-178,160,0.92,0.08,7.5,Over,Bo. Miller,K. Hendricks,7,9
4/5/2024,TB,COL,o13-104,u12.5+105,0.6,0.4,36219,TB,COL,220,145,0.92,0.08,12.5,Over,Z. Littell,A. Gomber,7,10
4/5/2024,BAL,PIT,o8+105,u7.5-104,0.56,0.44,37966,BAL,PIT,-120,115,0.81,0.19,7.5,Under,G. Rodriguez,J. Jones,5,2
4/5/2024,SD,SF,o7.5-104,u7.5-102,0.37,0.63,28944,SD,SF,105,-112,0.52,0.48,7.5,Under,D. Cease,J. Hicks,2,3
4/5/2024,NYM,CIN,o9+100,u8.5+100,0.37,0.63,39349,NYM,CIN,116,-125,0.12,0.88,8.5,Under,J. Quintana,H. Greene,3,2
4/5/2024,PHI,WAS,o8.5-103,u8+100,0.33,0.67,45175,PHI,WAS,-185,172,0.94,0.06,8,Under,A. Nola,P. Corbin,4,0
4/5/2024,AZ,ATL,o9-105,u9+100,0.63,0.37,41434,AZ,ATL,270,-292,0.1,0.9,9,Over,T. Henry,S. Strider,5,6
4/5/2024,CHW,KC,o8.5-103,u8-105,0.38,0.62,30226,CHW,KC,165,-185,0.1,0.9,8,Under,E. Fedde,B. Singer,1,2
4/5/2024,HOU,TEX,o10-105,u9.5+105,0.68,0.32,32170,HOU,TEX,-129,120,0.55,0.45,10,Over,H. Brown,C. Bradford,2,10
4/5/2024,SEA,MIL,o7.5-110,u7.5-105,0.12,0.88,32912,SEA,MIL,600,-125,0.32,0.68,7.5,Over,L. Gilbert,F. Peralta,5,6
4/5/2024,BOS,LAA,o8.5-114,u8.5+105,0.37,0.63,34220,BOS,LAA,-107,100,0.78,0.22,8.5,Over,K. Crawford,G. Canning,8,6
4/6/2024,OAK,DET,o8.5-102,u8.5-110,0.55,0.45,29590,OAK,DET,135,-146,0.37,0.63,8.5,Under,P. Blackburn,K. Maeda,4,0
4/6/2024,CLE,MIN,o8+100,u8-105,0.5,0.5,30776,CLE,MIN,150,-165,0.41,0.59,8,Under,C. Carrasco,J. Ryan,3,1
4/6/2024,MIA,STL,o8+100,u7.5-102,0.6,0.4,24768,MIA,STL,126,-141,0.22,0.78,8,Under,Tr. Rogers,S. Matz,1,3
4/6/2024,BAL,PIT,o8.5-118,u8.5+100,0.82,0.18,33089,BAL,PIT,180,125,0.6,0.4,8.5,Over,T. Wells,B. Falter,4,5
4/6/2024,PHI,WAS,o8.5+100,u8-105,0.19,0.81,27157,PHI,WAS,-178,165,0.95,0.05,8,Under,R. Suarez,J. Irvin,5,2
4/6/2024,LAD,CHC,o8+100,u7.5+102,0.55,0.45,39844,LAD,CHC,-152,158,0.86,0.14,7.5,Under,Y. Yamamoto,J. Wicks,4,1
4/6/2024,NYM,CIN,o9.5+100,u9.5-115,0.31,0.69,23420,NYM,CIN,108,-120,0.16,0.84,9.5,Over,L. Severino,N. Martinez,6,9
4/6/2024,TOR,NYY,o7.5+105,u7.5-115,0.33,0.67,28070,TOR,NYY,105,-115,0.41,0.59,7.5,Over,K. Gausman,C. Schmidt,8,9
4/6/2024,HOU,TEX,o10-105,u10-108,0.77,0.23,23617,HOU,TEX,-108,-108,0.38,0.62,10,Under,J. France,Jon. Gray,2,7
4/6/2024,CHW,KC,o9.5+100,u9+100,0.77,0.23,25687,CHW,KC,195,-225,0.13,0.87,9.5,Under,C. Flexen,M. Wacha,0,3
4/6/2024,SEA,MIL,o9+102,u8.5+100,0.82,0.18,20467,SEA,MIL,102,-118,0.34,0.66,9,Under,Br. Miller,D. Hall,5,3
4/6/2024,AZ,ATL,o9-105,u9-109,0.85,0.15,30302,AZ,ATL,180,-190,0.33,0.67,9,Over,B. Pfaadt,M. Fried,8,9
4/6/2024,TB,COL,o11.5+104,u11+100,0.32,0.68,17539,TB,COL,-135,120,0.79,0.21,11.5,Over,T. Alexander,R. Feltner,8,6
4/6/2024,SD,SF,o8-105,u8-110,0.38,0.62,17645,SD,SF,100,-115,0.38,0.62,8,Under,M. King,K. Winn,4,0
4/6/2024,BOS,LAA,o8-106,u8-102,0.14,0.86,25177,BOS,LAA,102,-115,0.46,0.54,8,Under,G. Whitlock,R. Detmers,1,2
4/7/2024,PHI,WAS,o8+100,u7.5+100,0.44,0.56,28908,PHI,WAS,-150,140,0.88,0.12,8,Under,C. Sanchez,M. Gore,2,3
4/7/2024,AZ,ATL,o9.5+102,u9+105,0.76,0.24,30135,AZ,ATL,215,-245,0.1,0.9,9,Under,R. Nelson,C. Sale,2,5
4/7/2024,BAL,PIT,o8.5-112,u8.5+100,0.7,0.3,27560,BAL,PIT,-114,100,0.71,0.29,8.5,Under,D. Kremer,M. Gonzales,2,3
4/7/2024,TOR,NYY,o8.5-105,u8-102,0.79,0.21,27772,TOR,NYY,140,-159,0.22,0.78,8,Over,B. Francis,L. Gil,3,8
4/7/2024,OAK,DET,o8-107,u7.5-102,0.5,0.5,25516,OAK,DET,184,-200,0.07,0.93,8,Push,J. Boyle,J. Flaherty,7,1
4/7/2024,NYM,CIN,o8.5-110,u8.5-108,0.14,0.86,21184,NYM,CIN,-115,100,0.49,0.51,8.5,Under,S. Manaea,A. Abbott,3,1
4/7/2024,CHW,KC,o9+100,u9-105,0.22,0.78,31806,CHW,KC,115,-126,0.41,0.59,9,Under,G. Crochet,A. Marsh,3,5
4/7/2024,SEA,MIL,o9-104,u8.5+100,0.1,0.9,14050,SEA,MIL,115,-130,0.37,0.63,9,Over,E. Hancock,C. Rea,4,12
4/7/2024,MIA,STL,o9-105,u9-105,0.88,0.12,19028,MIA,STL,125,-137,0.33,0.67,9,Over,M. Meyer,K. Gibson,10,3
4/7/2024,LAD,CHC,o9-103,u8.5-106,0.82,0.18,27035,LAD,CHC,-112,107,0.48,0.52,8.5,Over,G. Stone,S. Imanaga,1,8
4/7/2024,TB,COL,o11.5-110,u11-103,0.5,0.5,15958,TB,COL,-136,126,0.8,0.2,11,Under,R. Pepiot,Dak. Hudson,3,2
4/7/2024,SD,SF,o13+255,u7.5+100,0.6,0.4,17089,SD,SF,145,-165,0.29,0.71,8,Under,M. Waldron,L. Webb,2,3
4/7/2024,BOS,LAA,o8.5-110,u8.5-105,0.57,0.43,16155,BOS,LAA,-115,104,0.85,0.15,8.5,Over,T. Houck,C. Silseth,12,2
4/7/2024,HOU,TEX,o10.5-102,u10-105,0.59,0.41,48134,HOU,TEX,-105,-108,0.43,0.57,10.5,Under,R. Blanco,D. Dunning,3,1
