Team,Season,League,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,ln1divwmin1
Gardner-Webb,2018,Big South Conference,7,32,40.6,25.7,57.8,0.44,7.4,21.1,0.35,11.8,16.4,0.72,13.7,17.8,9.1,25.9,35,13,6.1,2.9,70.6,8,0.54,0.51,151.2,26.6,74.3,50.7,50.5,17.2,8.6,8.5,1.2,48.2,100.2,102.4,-2.2,2252.7,69.3,5,10,0,0,0,0,1,0,119,-1.5,0,1.51,0.9,0.4,0.2,14,18,0.44,0.25
High Point,2018,Big South Conference,5,30,40.2,25.8,56.3,0.46,5.4,15.2,0.36,13.8,19.6,0.7,12.5,18.2,10.4,23.6,34,11.8,7.4,2.7,70.9,4,0.54,0.51,151.8,31.8,72.1,52,45.5,16,10.9,8.5,1.3,49.5,104.7,98.2,6.6,2030.5,67.4,7,4,0,0,0,0,2,0,110,4.4,0,1.46,0.9,0.6,0.24,14,16,0.47,0.13
Liberty,2018,Big South Conference,6,37,40.8,24.3,52.6,0.46,8.1,21.7,0.37,14.1,17.8,0.79,11.8,16.6,6.9,25.2,32.1,14.1,5.9,2.5,70.8,1,0.58,0.54,162.8,23.7,80.8,53.2,58,16.2,9,9.1,1.3,51.8,107.7,96.6,11,2434.7,64.5,4,11,0,0,0,0,2,0,96,7.2,0,1.58,1.2,0.5,0.27,22,15,0.6,-0.39
Longwood,2018,Big South Conference,10,33,40,22.1,53.5,0.41,6.8,20.9,0.33,12.3,17.9,0.69,15.6,17.4,7.6,23.6,31.2,9.9,6.6,3.1,63.3,10,0.51,0.48,142.7,22.7,68.6,46,44.9,20.2,9.4,9,1.2,37.1,90.4,105.9,-15.5,2309.2,70,6,7,0,0,0,0,0,0,107,-10.8,0,1.45,0.6,0.4,0.23,7,26,0.21,1.31
Presbyterian,2018,Big South Conference,9,32,40.1,23.4,55,0.43,8.6,24.1,0.36,10.9,15.9,0.69,11.9,14.4,8.7,21.7,30.4,11.5,5.5,2,66.4,9,0.53,0.5,147,26.1,70.8,47.6,49.1,16,8.3,5.7,1.2,43.8,101.1,108.1,-7.1,2101.9,65.5,9,1,0,0,0,0,1,0,107,-4.7,0,1.49,1,0.5,0.2,11,21,0.34,0.64
Radford,2018,Big South Conference,8,36,40.7,23.6,55.6,0.43,7.7,22,0.35,12.4,17.1,0.73,12.2,16.6,10.8,22.2,33.1,12.3,6.3,2.9,67.3,6,0.53,0.49,149.9,33,72.7,52.1,52,16.1,9.7,9.1,1.2,46.9,103.4,99.7,3.7,2342.1,64,3,12,0,0,0,0,3,0,90,2.4,0,1.52,1,0.5,0.22,23,13,0.64,-0.57
UNC Asheville,2018,Big South Conference,3,34,40.7,26.8,56.5,0.48,8.1,20.7,0.39,13.4,18.1,0.74,13.8,18.5,7.8,24.9,32.7,15.4,7.4,3.4,75.2,7,0.58,0.55,161,25,74.3,50.6,57.2,17.5,10.4,9.5,1.3,54.6,105.5,103.1,2.4,2424.5,70,2,13,2,0,0,0,1,3,98,1.7,0,1.57,1.1,0.5,0.24,21,13,0.62,-0.48
Winthrop,2018,Big South Conference,1,31,40,27.7,58.1,0.48,9.5,25.5,0.38,14.5,20.1,0.72,13.8,17.4,8.7,26.5,35.2,14.7,6.8,4.6,79.5,2,0.59,0.56,157.4,26.7,73.6,51.3,53,17,9.3,12.4,1.4,60.6,109.1,98.3,10.8,2258.5,72.9,1,17,2,0,0,0,0,2,107,7.9,0,1.53,1.1,0.5,0.25,19,12,0.61,-0.46
Illinois,2012,Big Ten Conference,9,32,40.5,24,54.4,0.44,5.8,19.1,0.3,11.8,16.5,0.72,13.4,17.7,9.1,21.7,30.8,12.5,5.1,4.1,65.6,8,0.53,0.49,146,30.1,72.8,51.3,52.2,17.9,7.7,11.9,1.2,42.9,99,96.9,2,2119.9,65.5,3,13,2,1,0,0,2,4,90,1.3,2,1.52,0.9,0.4,0.22,17,15,0.53,-0.13
Indiana,2012,Big Ten Conference,1,36,40,26.4,53.6,0.49,6.4,14.8,0.43,18.2,23.8,0.76,12.8,17.6,9.6,22.9,32.5,13.5,6.5,3.2,77.3,4,0.6,0.55,168.7,34,70.5,53.5,51.3,16.7,9.5,8.5,1.4,56.5,113.5,97.6,15.9,2450.8,68.1,4,11,0,0,0,0,2,0,107,10.8,5,1.51,1.1,0.5,0.34,27,9,0.75,-1.1
Iowa,2012,Big Ten Conference,3,35,40,25.8,56.6,0.46,5.7,15.4,0.37,15.7,21.8,0.72,12.3,16.6,10.5,21.9,32.4,14.9,7.5,3.4,73,10,0.55,0.51,154.9,32.1,67.9,49.9,57.6,15.7,10.8,9.3,1.3,54.3,106,105.3,0.7,2409.6,68.8,5,9,0,0,0,0,0,1,105,0.5,2,1.58,1.2,0.6,0.28,18,17,0.51,-0.06
Michigan,2012,Big Ten Conference,8,34,40.4,23.8,52.3,0.45,8.1,23.2,0.35,10.7,14.8,0.72,10.9,15.6,7.8,21.3,29.1,12.7,4.9,2.1,66.3,6,0.56,0.53,152.6,26.8,70.8,49.2,53.3,15.6,7.8,6.1,1.3,45.9,105.7,98,7.7,2133.1,62,9,6,0,0,0,0,1,0,90,4.9,2,1.53,1.2,0.5,0.2,24,10,0.71,-0.88
Michigan State,2012,Big Ten Conference,5,37,40.1,25.9,54.4,0.48,5.4,14.9,0.36,14.4,20.5,0.7,12.9,17.5,10.6,25.3,35.9,15.3,7.2,4.2,71.6,2,0.57,0.53,153.8,35.9,74.9,56.6,59.1,16.9,10.8,12.4,1.3,57.6,108,89.5,18.6,2453.8,66.1,1,26,2,0,0,0,0,1,110,12.3,4,1.59,1.2,0.6,0.26,29,8,0.78,-1.29
Minnesota,2012,Big Ten Conference,7,38,40.9,24.1,52.1,0.46,5.3,15,0.36,14.1,20.2,0.7,14.6,18.5,9.8,22.3,32.1,15.1,7.1,4.9,67.6,7,0.55,0.51,151.5,34.8,70.3,53.6,62.6,19.3,10.6,14.1,1.3,49.5,101.8,97.6,4.2,2523.1,64.9,6,8,0,0,0,0,1,3,86,2.8,0,1.63,1,0.5,0.27,23,15,0.61,-0.43
Nebraska,2012,Big Ten Conference,12,30,40.3,21.6,50.7,0.43,6.5,20,0.32,11.2,14.5,0.77,13.2,16.5,7.5,20.3,27.9,12.7,6.6,2.6,60.9,12,0.53,0.49,151.9,25.9,72.8,48.8,58.7,18.8,10.3,8.3,1.2,40.3,95.7,103.2,-7.4,1908.7,63.1,12,3,0,0,0,0,1,2,83,-4.7,2,1.59,1,0.5,0.22,12,18,0.4,0.4
Northwestern,2012,Big Ten Conference,6,33,40.5,23.9,53.1,0.45,9,23.3,0.39,12.4,17.9,0.69,10.2,15.9,7.4,19.5,27,15.5,6.6,3.7,69.3,9,0.57,0.54,152.7,24.5,64.4,44.5,64.9,14.4,10.1,10.4,1.3,51.8,107.2,105.6,1.6,2133.4,63.9,10,5,0,0,0,0,2,1,92,1,2,1.65,1.5,0.6,0.23,19,14,0.58,-0.31
Ohio State,2012,Big Ten Conference,2,39,40,27.1,56.9,0.48,5.1,15.3,0.33,15.4,21.7,0.71,11.7,16.2,11.3,24.2,35.5,14.6,7.2,3.2,74.7,1,0.56,0.52,151.9,35.5,76.9,56.1,53.7,15,10.7,9.4,1.3,58.4,110.6,88.6,22,2634.2,67.5,2,23,1,0,0,0,4,1,107,14.9,1,1.54,1.2,0.6,0.27,31,8,0.8,-1.36
Penn State,2012,Big Ten Conference,11,32,40,21.7,55.3,0.39,6.3,20.2,0.31,12.1,17.6,0.69,12.2,19.8,11,20.6,31.6,10.8,6.8,2.4,61.8,11,0.49,0.45,138.9,32.5,73.5,51.1,49.5,16.2,10.5,8.9,1.1,38,95.3,101.6,-6.2,2073.5,64.8,7,8,0,0,0,0,3,0,82,-4,3,1.5,0.9,0.6,0.22,12,20,0.38,0.51
Purdue,2012,Big Ten Conference,4,35,40,25.4,57.7,0.44,8.1,21.5,0.38,12.9,19.7,0.66,8.7,17.7,9.6,21.1,30.8,13.4,6.5,3.1,71.8,5,0.54,0.51,147.3,29.6,69.5,48.8,52.9,11.6,9.9,8.9,1.2,52.2,109.3,100.5,8.9,2299.5,65.7,8,7,1,0,0,0,0,1,96,5.8,3,1.53,1.5,0.7,0.22,22,13,0.63,-0.53
Wisconsin,2012,Big Ten Conference,10,36,40.3,22.1,51.8,0.43,7.9,21.5,0.37,11.8,16,0.74,8.8,14.1,9,22.6,31.6,11.9,5,3.5,64,3,0.54,0.5,153.4,30.1,74,52.3,53.8,13.1,8.3,9.1,1.2,49.4,106.9,88.9,18.1,2155,59.4,11,4,0,0,0,0,0,2,85,10.8,0,1.54,1.3,0.6,0.23,26,10,0.72,-0.96
Illinois,2013,Big Ten Conference,6,36,40.1,23.8,57.9,0.41,7.8,24.2,0.32,13,17.9,0.73,11.4,18,11.2,21.2,32.4,10.1,6.8,3.9,68.5,8,0.52,0.48,145.8,32.3,67,48.9,42.5,14.8,10.3,11.5,1.2,45.8,103.4,97.8,5.6,2384.9,66,12,2,0,0,0,0,2,1,94,3.7,2,1.43,0.9,0.6,0.23,23,13,0.64,-0.57
Indiana,2013,Big Ten Conference,1,36,40.3,26.4,54.8,0.48,7.1,17.7,0.4,18.7,25.1,0.74,13,16.6,11.6,25.4,36.9,14.3,7.1,3.6,78.6,1,0.6,0.55,162.9,38.6,70.1,55.8,54,16.5,10.3,9.3,1.4,62,114.9,90.7,24.1,2464.4,68,1,21,0,0,0,0,3,0,101,16.5,1,1.54,1.1,0.5,0.34,29,7,0.81,-1.43
Iowa,2013,Big Ten Conference,4,38,40.4,23.8,56.7,0.42,5.4,17.6,0.31,17.2,23.6,0.73,12.5,17,12.3,25.4,37.7,15.1,6.9,4.8,70.1,6,0.52,0.47,145.5,35.8,70.6,53.6,63.5,15.7,10.2,12.6,1.2,55.3,103,92.3,10.7,2587.1,67.4,8,7,1,0,0,0,0,2,90,7.3,3,1.64,1.2,0.6,0.3,25,13,0.66,-0.66
Michigan,2013,Big Ten Conference,2,39,40.3,28,57.9,0.48,7.6,19.7,0.39,11.5,16.5,0.7,9.4,12.7,9.8,23.8,33.7,14.5,6.1,2.8,75.2,2,0.58,0.55,156.9,31.7,71.2,52.2,51.7,12.6,9.4,7.3,1.3,60.3,114.9,96.7,18.2,2551.7,64.9,3,18,0,0,0,0,2,0,100,11.9,2,1.52,1.5,0.6,0.2,31,8,0.8,-1.36
Michigan State,2013,Big Ten Conference,7,36,40,24.5,53.4,0.46,4.9,14.5,0.34,14.1,19.7,0.71,13.6,16.1,10.9,25.2,36.2,13.2,8,3.9,68,5,0.55,0.51,151.2,35.5,73.9,55.7,53.7,18,12.2,10.9,1.3,53.9,103.8,90.2,13.5,2359.1,65.5,2,19,2,0,0,0,4,1,92,8.9,4,1.54,1,0.6,0.26,27,9,0.75,-1.1
