Cap.Hit,Pos,Age,G,MP,PER,TS,X3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP
845059,C,22,7,18,20,0.595,0,0.4,6.1,18.8,12.6,9.6,2.8,0,0,14.9,0.1,0,0.1,0.209,1.9,0.1,2,0
854389,C,33,12,68,3.3,0.205,0,0.5,7.6,26.2,16.6,7.6,0.7,2.1,45,5.7,-0.1,0.1,0,-0.005,-7.4,0.1,-7.3,-0.1
854389,C,24,11,32,1.6,0.325,0,0.273,27.2,18.5,22.7,0,0,0,19.6,22.4,-0.1,0,-0.1,-0.107,-12.1,-6.6,-18.8,-0.1
854389,C,35,63,693,10.8,0.414,0.011,0.261,12,20.4,16.2,5.8,1.6,3.5,10.7,14.9,0,1.2,1.2,0.082,-4.1,0.6,-3.6,-0.3
854389,C,34,38,384,3,0.476,0,1.103,6.9,11.3,9.2,2.9,1.6,2.1,29.5,7.5,-0.1,0.5,0.4,0.045,-7.9,1.2,-6.7,-0.4
854389,C,38,21,296,16.7,0.484,0.486,0.141,4.2,29.4,16.4,3.5,2.3,4.4,6.2,25.4,0.1,0.6,0.6,0.101,-1,0,-1,0.1
854389,C,30,65,701,9.4,0.485,0,0.649,7.8,17.9,12.9,6.8,1.4,4.2,18.9,10,0.1,1,1.1,0.075,-3.2,1.5,-1.7,0.1
854389,C,22,13,104,14,0.493,0,0.654,15.5,13.4,14.3,5.7,2,2.2,10.7,16.4,0.1,0.1,0.3,0.135,-2.6,-0.4,-3.1,0
854389,C,34,55,1029,16.7,0.538,0,0.31,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,0.7,1.3,2,0.092,-1.9,0.6,-1.3,0.2
854389,C,26,82,1555,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3,2.7,13.8,26.5,2.4,2.5,4.9,0.153,1.3,0.9,2.2,1.6
854389,C,28,60,663,11.3,0.674,0,0.772,9.1,15.7,12.5,2.4,0.5,4.3,22.4,13.6,1,0.8,1.7,0.125,-4,0.2,-3.9,-0.3
854389,C,30,61,830,15.3,0.725,0.007,0.379,8.1,17.3,12.8,4.2,2,2.7,16,12.1,1.8,1.3,3.1,0.181,-1.5,1.5,0,0.4
874636,C,24,47,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-0.8,-0.6,-1.3,0.1
874636,C,30,73,905,14.8,0.65,0.022,0.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,1.3,1.7,3,0.159,-3,2.3,-0.7,0.3
884293,C,36,80,562,10.1,0.445,0,0.238,13.6,21.7,17.7,5.8,1.3,4.1,21,14.5,-0.4,1.2,0.8,0.07,-5.1,1.2,-3.9,-0.3
884293,C,35,22,172,4.1,0.485,0.125,0.167,4.9,8.3,6.6,3.5,2.4,0.5,21.4,8.9,-0.1,0.1,0.1,0.017,-6.4,-0.3,-6.7,-0.2
884293,C,24,32,317,13.4,0.547,0.378,0.085,9.8,16.7,13.1,6.9,1,3.8,10.5,12.8,0.5,0.2,0.7,0.108,-0.8,0.1,-0.7,0.1
884293,C,26,23,212,12.4,0.567,0,0.469,14.2,17.7,16,0.7,1.7,5.3,16.9,16,0.2,0.3,0.5,0.119,-5,0.2,-4.8,-0.1
884293,C,25,46,330,19.1,0.62,0,0.492,12.8,33.8,23,6.4,1.3,8.1,19.5,13,0.6,0.6,1.2,0.178,-0.1,1.6,1.5,0.3
884293,C,23,11,100,13.7,0.629,0,0.179,13,16.8,15,0,0.5,1.5,14.2,15.4,0.2,0.1,0.2,0.119,-1.2,-1.2,-2.5,0
890693,C,36,17,225,11.4,0.461,0.014,0.125,4.2,27,15.2,13.1,2,2.7,12.6,16.9,-0.1,0.3,0.2,0.036,-4.7,1.3,-3.4,-0.1
898310,C,23,6,28,12.9,0.432,0.143,0.357,19.3,33.2,26.4,16.4,1.7,0,15.6,29.3,0,0.1,0,0.043,-6.6,-3,-9.6,-0.1
898310,C,21,30,161,12.5,0.471,0.096,0.231,15.1,18.3,16.8,8.5,1.2,3.9,13.6,18.2,0,0.2,0.3,0.081,-4,-1.6,-5.6,-0.1
898310,C,20,30,495,15.3,0.505,0.399,0.218,7,19.9,13.2,11.2,1.8,3.7,7.6,24,0.2,0.6,0.8,0.074,-1.6,-0.3,-1.9,0
898310,C,20,15,187,14.8,0.577,0.146,0.438,10.7,13.6,12.2,12.4,0.3,3.6,13.6,14.8,0.3,0.2,0.5,0.121,-0.7,0,-0.6,0.1
898310,C,19,14,139,14.5,0.61,0.325,0.475,7.5,13.7,10.5,14.3,1,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.4,-0.8,-2.2,0
898310,C,21,43,609,16.2,0.686,0,0.448,9,10.3,9.6,5.2,1,8.7,15.3,13.3,1.1,0.8,1.9,0.146,-2.8,1.5,-1.3,0.1
