vsc,hsc,line,total,mov,combsc,thur,mon,oct,nov,dec,late,rating,Division,OT,number,Penalties,sumwin
9,24,4,45,15,33,0,1,0,0,1,0,77,1,0,3095,18,1.083333333
19,13,3.5,37.5,6,32,1,0,0,0,1,0,32,1,0,3074,4,0.818181818
28,20,11,44,8,48,0,0,1,0,0,0,60,0,0,3062,12,0.75
0,41,1.5,44.5,41,41,0,0,1,0,0,1,69,0,0,3030,10,0.75
17,23,6,37,6,40,0,0,0,0,0,1,49,1,0,3029,8,1.25
0,28,7,41,28,28,0,0,0,0,0,1,53,1,0,2995,14,0.375
24,31,1.5,45.5,7,55,0,0,0,0,1,1,66,1,0,2987,7,1.272727273
24,7,4.5,44.5,17,31,0,0,0,0,0,0,61,0,0,2957,16,1.0625
42,6,14,45,36,48,0,0,1,0,0,0,49,0,0,2936,11,1
16,28,6.5,43.5,12,44,0,0,0,0,1,0,76,0,0,2924,11,1.75
16,13,9,35.5,3,29,0,0,1,0,0,1,56,1,0,2921,22,0.8
41,9,8,43,32,50,0,0,0,0,1,0,69,0,0,2907,8,1
31,10,3,49,21,41,0,0,0,0,0,0,71,0,0,2906,12,1.3125
27,30,7,43.5,3,57,0,0,0,0,1,1,81,0,0,2883,18,1.357142857
13,23,5.5,45,10,36,0,0,0,0,0,1,49,0,0,2850,10,1.1875
10,38,1.5,37.5,28,48,0,0,1,0,0,1,67,1,,2825,8,1.125
14,31,11,45,17,45,0,0,0,1,0,1,66,1,0,2821,11,1.111111111
10,30,6,42,20,40,0,0,0,0,1,0,67,0,0,2816,20,0.594
14,33,15.5,41.5,19,47,0,0,1,0,0,0,64,0,0,2816,14,1.583333333
14,6,6.5,37,8,20,0,0,1,0,0,0,34,0,0,2807,11,0.4
31,9,3.5,44,22,40,0,0,1,0,0,0,59,1,0,2799,16,1
0,26,14,48.5,26,26,0,0,1,0,0,0,48,1,0,2781,19,0.7
14,43,13,45,29,57,0,0,0,1,0,1,69,1,0,2778,13,1
45,12,3,44,33,57,0,1,0,0,1,0,51,1,0,2751,9,0.769230769
24,17,7.5,47,7,41,0,0,1,0,0,0,73,0,0,2746,14,1.433333333
13,30,3,44,17,43,0,0,0,1,0,1,70,1,0,2746,6,0.5
24,30,5.5,41.5,6,54,0,0,0,1,0,0,67,0,0,2742,10,1
13,27,7,41.5,14,40,0,0,0,0,1,1,69,0,0,2735,12,1.153846154
36,17,6.5,43,19,53,0,0,0,0,0,0,61,0,0,2721,12,0.5
24,38,13,36.5,14,62,0,0,0,0,0,0,62,0,0,2714,11,0.8125
10,48,13.5,44,38,58,0,0,0,0,1,0,78,0,0,2710,13,1
38,0,6,34,38,38,0,0,1,0,0,1,41,0,0,2703,5,0.833333333
6,30,11,39.5,24,36,0,0,0,1,0,0,40,0,0,2678,8,0.642857143
23,25,10,43,2,48,0,0,0,1,0,0,80,0,0,2678,12,0.5
16,0,11,39.5,16,16,0,1,0,1,0,0,21,1,0,2677,13,0.625
34,7,4,43,27,41,0,0,0,0,1,0,74,0,0,2665,14,1.181818182
12,14,6.5,45,2,26,0,0,0,0,0,0,52,1,0,2655,6,1.0625
7,17,3,45,10,24,0,0,0,1,0,0,73,1,0,2644,13,1.285714286
13,16,9,35.5,3,29,0,0,1,0,0,0,37,0,0,2626,9,1.0625
24,20,3.5,47,4,44,0,0,0,1,0,0,62,0,0,2574,15,1
14,21,4,45.5,7,35,0,0,1,0,0,0,64,0,0,2572,15,1.5
14,27,4,43,13,41,0,1,0,0,1,0,69,0,0,2571,23,1.181818182
30,24,3,46,6,54,0,0,0,0,0,0,69,0,0,2549,8,1
41,21,1.5,45,20,62,0,0,0,1,0,0,57,0,0,2529,11,1.142857143
27,34,8,47,7,61,0,0,0,0,0,0,75,,,2505,9,1.2
31,34,7,46.5,3,65,0,0,0,1,0,0,80,0,1,2493,11,1.111111111
24,17,5,42,7,41,0,0,0,0,1,0,81,0,1,2493,12,1
21,24,3.5,44.5,3,45,0,0,1,0,0,0,76,0,0,2441,18,1.1
24,27,10,40,3,51,0,0,0,1,0,0,74,1,0,2433,14,0.8
17,10,7,42,7,27,0,0,0,0,1,0,52,1,0,2421,17,1
21,14,3.5,42,7,35,0,0,0,0,1,0,60,1,0,2389,17,1.083333333
16,24,15.5,41.5,8,40,0,0,0,1,0,1,52,1,0,2381,11,0.785714286
17,41,7.5,41,24,58,0,0,0,1,0,0,65,0,0,2377,18,0.625
27,16,9,43,11,43,0,0,1,0,0,0,52,0,0,2375,15,1.4375
20,28,5,43.5,8,48,0,0,0,0,0,0,71,1,0,2375,12,0.875
17,27,6,47,10,44,0,0,0,0,1,0,69,1,0,2370,9,1.454545455
20,17,3.5,48,3,37,0,1,0,1,0,0,84,1,0,2369,12,0.888888889
