fga,fg_pct,fga3,fg3_pct,fta,ft_pct,orb,drb,ast,stl,blk,tov,opp_fga,opp_fg_pct,opp_fga3,opp_fg3_pct,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,win
61,36.1,29,27.6,8,37.5,10,23,10,1,3,7,67,52.2,18,44.4,7,57.1,11,34,12,2,5,2,FALSE
54,44.4,24,37.5,13,92.3,7,19,11,3,0,15,51,49,7,0,26,65.4,10,23,5,8,4,15,TRUE
56,39.3,23,34.8,16,87.5,9,30,14,8,4,12,54,35.2,21,28.6,13,53.8,9,27,8,4,4,17,TRUE
56,44.6,23,21.7,6,100,11,32,12,2,3,16,65,41.5,23,30.4,10,40,12,19,17,6,2,7,FALSE
48,52.1,30,46.7,20,70,8,23,23,4,2,13,55,36.4,28,32.1,14,50,9,17,7,8,2,14,TRUE
55,41.8,29,24.1,18,72.2,8,18,11,5,3,10,50,56,20,60,14,71.4,6,28,20,5,4,14,FALSE
66,34.8,24,33.3,9,77.8,18,18,9,7,3,9,59,54.2,19,52.6,16,56.3,13,26,13,8,6,9,FALSE
64,34.4,26,26.9,21,66.7,16,19,10,8,4,8,52,46.2,10,40,19,73.7,11,28,15,2,6,16,FALSE
60,35,16,12.5,13,76.9,6,28,15,8,7,16,61,47.5,27,48.1,11,54.5,7,32,21,10,2,15,FALSE
47,55.3,27,51.9,21,76.2,6,24,17,4,7,14,53,45.3,22,36.4,21,61.9,10,17,2,7,1,12,TRUE
56,41.1,33,36.4,14,85.7,7,20,14,11,1,16,51,58.8,19,47.4,15,86.7,3,25,13,11,3,15,FALSE
45,46.7,22,40.9,23,87,8,17,13,5,0,14,52,55.8,26,42.3,15,53.3,9,17,11,6,1,12,FALSE
68,26.5,20,10,19,84.2,20,19,3,6,2,11,56,51.8,24,41.7,18,77.8,11,31,16,6,3,11,FALSE
63,55.6,26,26.9,23,60.9,15,33,15,12,6,18,68,33.8,26,19.2,12,83.3,12,18,12,10,1,15,TRUE
46,34.8,16,25,30,76.7,8,31,10,5,5,14,60,28.3,21,14.3,14,85.7,14,23,5,3,2,14,TRUE
54,16.7,28,7.1,6,66.7,14,22,2,5,3,10,45,35.6,21,33.3,13,61.5,10,32,8,8,3,12,FALSE
67,46.3,23,30.4,8,50,15,20,17,4,2,9,51,52.9,20,50,18,83.3,5,23,10,3,3,9,FALSE
52,42.3,17,35.3,10,60,12,30,16,5,6,14,50,34,21,19,15,53.3,5,19,6,6,2,7,TRUE
62,41.9,29,34.5,9,77.8,7,25,14,4,3,11,69,42,24,25,19,78.9,18,31,16,7,3,10,FALSE
57,31.6,22,22.7,22,68.2,18,21,14,6,1,11,53,41.5,22,31.8,17,82.4,11,24,11,7,6,10,FALSE
53,47.2,18,33.3,11,72.7,7,27,13,8,10,11,59,23.7,22,13.6,8,75,18,23,8,4,3,16,TRUE
45,44.4,24,37.5,21,71.4,5,20,13,4,5,13,53,45.3,27,48.1,12,91.7,10,20,14,3,0,15,FALSE
65,44.6,24,29.2,22,68.2,14,29,14,9,9,7,56,35.7,17,35.3,11,81.8,6,26,9,1,0,14,TRUE
64,42.2,24,37.5,20,75,18,30,16,4,6,18,69,42,21,38.1,18,55.6,14,21,15,9,4,9,TRUE
51,41.2,20,25,24,62.5,10,18,7,9,7,19,55,54.5,22,50,12,75,9,24,25,11,3,21,FALSE
66,56.1,21,38.1,37,83.8,14,27,26,7,7,17,74,50,17,41.2,24,62.5,14,13,17,9,6,11,FALSE
43,30.2,12,33.3,16,75,6,18,8,6,8,16,55,49.1,17,35.3,10,50,11,28,17,7,7,12,FALSE
62,43.5,22,18.2,5,80,11,28,8,10,1,10,56,32.1,28,14.3,7,100,9,24,7,6,1,14,TRUE
46,41.3,28,39.3,13,76.9,6,25,13,6,12,12,53,28.3,19,26.3,17,94.1,14,23,8,9,1,11,TRUE
