date,AwayTeam,HomeTeam,Away_bestodds,Home_bestodds,pct_bet_home,pct_bet_away,Total,O_bestodds,U_bestodds,pct_bet_over,pct_bet_under,TotalResult,Volume,AwaySP,HomeSP,AwayScore,HomeScore
4/4/2024,CLE,MIN,145,-155,0.44,0.56,7,105,100,0.28,0.72,Under,40748,T. Bibee,P. Lopez,4,2
4/4/2024,MIA,STL,130,-142,0.87,0.13,8,100,100,0.46,0.54,Over,41944,R. Weathers,L. Lynn,5,8
4/4/2024,DET,NYM,108,-118,0.42,0.58,7.5,-110,100,0.75,0.25,Over,13333,C. Mize,A. Houser,6,3
4/4/2024,CHW,KC,170,-170,0.77,0.23,8,-105,-104,0.33,0.67,Over,46801,M. Soroka,S. Lugo,1,10
4/5/2024,TOR,NYY,140,-155,0.87,0.13,8.5,-114,100,0.42,0.58,Under,54510,Y. Kikuchi,M. Stroman,3,0
4/5/2024,OAK,DET,650,-238,0.91,0.09,7,105,100,0.28,0.72,Over,46735,J. Sears,T. Skubal,4,5
4/5/2024,LAD,CHC,-178,160,0.08,0.92,7.5,102,-112,0.6,0.4,Over,40621,Bo. Miller,K. Hendricks,7,9
4/5/2024,TB,COL,220,145,0.08,0.92,12.5,-104,105,0.6,0.4,Over,36219,Z. Littell,A. Gomber,7,10
4/5/2024,BAL,PIT,-120,115,0.19,0.81,7.5,105,-104,0.56,0.44,Under,37966,G. Rodriguez,J. Jones,5,2
4/5/2024,SD,SF,105,-112,0.48,0.52,7.5,-104,-102,0.37,0.63,Under,28944,D. Cease,J. Hicks,2,3
4/5/2024,NYM,CIN,116,-125,0.88,0.12,8.5,100,100,0.37,0.63,Under,39349,J. Quintana,H. Greene,3,2
4/5/2024,PHI,WAS,-185,172,0.06,0.94,8,-103,100,0.33,0.67,Under,45175,A. Nola,P. Corbin,4,0
4/5/2024,AZ,ATL,270,-292,0.9,0.1,9,-105,100,0.63,0.37,Over,41434,T. Henry,S. Strider,5,6
4/5/2024,CHW,KC,165,-185,0.9,0.1,8,-103,-105,0.38,0.62,Under,30226,E. Fedde,B. Singer,1,2
4/5/2024,HOU,TEX,-129,120,0.45,0.55,10,-105,105,0.68,0.32,Over,32170,H. Brown,C. Bradford,2,10
4/5/2024,SEA,MIL,600,-125,0.68,0.32,7.5,-110,-105,0.12,0.88,Over,32912,L. Gilbert,F. Peralta,5,6
4/5/2024,BOS,LAA,-107,100,0.22,0.78,8.5,-114,105,0.37,0.63,Over,34220,K. Crawford,G. Canning,8,6
4/6/2024,OAK,DET,135,-146,0.63,0.37,8.5,-102,-110,0.55,0.45,Under,29590,P. Blackburn,K. Maeda,4,0
4/6/2024,CLE,MIN,150,-165,0.59,0.41,8,100,-105,0.5,0.5,Under,30776,C. Carrasco,J. Ryan,3,1
4/6/2024,MIA,STL,126,-141,0.78,0.22,8,100,-102,0.6,0.4,Under,24768,Tr. Rogers,S. Matz,1,3
4/6/2024,BAL,PIT,180,125,0.4,0.6,8.5,-118,100,0.82,0.18,Over,33089,T. Wells,B. Falter,4,5
4/6/2024,PHI,WAS,-178,165,0.05,0.95,8,100,-105,0.19,0.81,Under,27157,R. Suarez,J. Irvin,5,2
4/6/2024,LAD,CHC,-152,158,0.14,0.86,7.5,100,102,0.55,0.45,Under,39844,Y. Yamamoto,J. Wicks,4,1
4/6/2024,NYM,CIN,108,-120,0.84,0.16,9.5,100,-115,0.31,0.69,Over,23420,L. Severino,N. Martinez,6,9
4/6/2024,TOR,NYY,105,-115,0.59,0.41,7.5,105,-115,0.33,0.67,Over,28070,K. Gausman,C. Schmidt,8,9
4/6/2024,HOU,TEX,-108,-108,0.62,0.38,10,-105,-108,0.77,0.23,Under,23617,J. France,Jon. Gray,2,7
4/6/2024,CHW,KC,195,-225,0.87,0.13,9.5,100,100,0.77,0.23,Under,25687,C. Flexen,M. Wacha,0,3
4/6/2024,SEA,MIL,102,-118,0.66,0.34,9,102,100,0.82,0.18,Under,20467,Br. Miller,D. Hall,5,3
4/6/2024,AZ,ATL,180,-190,0.67,0.33,9,-105,-109,0.85,0.15,Over,30302,B. Pfaadt,M. Fried,8,9
4/6/2024,TB,COL,-135,120,0.21,0.79,11.5,104,100,0.32,0.68,Over,17539,T. Alexander,R. Feltner,8,6
4/6/2024,SD,SF,100,-115,0.62,0.38,8,-105,-110,0.38,0.62,Under,17645,M. King,K. Winn,4,0
4/6/2024,BOS,LAA,102,-115,0.54,0.46,8,-106,-102,0.14,0.86,Under,25177,G. Whitlock,R. Detmers,1,2
4/7/2024,PHI,WAS,-150,140,0.12,0.88,8,100,100,0.44,0.56,Under,28908,C. Sanchez,M. Gore,2,3
4/7/2024,AZ,ATL,215,-245,0.9,0.1,9,102,105,0.76,0.24,Under,30135,R. Nelson,C. Sale,2,5
4/7/2024,BAL,PIT,-114,100,0.29,0.71,8.5,-112,100,0.7,0.3,Under,27560,D. Kremer,M. Gonzales,2,3
4/7/2024,TOR,NYY,140,-159,0.78,0.22,8,-105,-102,0.79,0.21,Over,27772,B. Francis,L. Gil,3,8
4/7/2024,OAK,DET,184,-200,0.93,0.07,8,-107,-102,0.5,0.5,Push,25516,J. Boyle,J. Flaherty,7,1
