Home,HomeScore,RoadScore,Road,HomeOdds,DrawOdds,RoadOdds,Playoffs,Season,Date
Sporting Kansas City,2,3,FC Dallas,1.94,3.99,4.13,0,2018,7/28/2018
Toronto FC,3,0,Chicago Fire,1.43,5.45,8.1,0,2018,7/28/2018
Vancouver Whitecaps,4,2,Minnesota United,1.69,4.5,4.95,0,2018,7/28/2018
Los Angeles Galaxy,4,3,Orlando City,1.45,5.45,7.63,0,2018,7/29/2018
Seattle Sounders,3,1,New York City,2.23,3.7,3.32,0,2018,7/29/2018
Dynamo Houston,0,1,Sporting Kansas City,2.17,3.96,3.65,0,2018,8/4/2018
Montreal Impact,1,1,DC United,2.22,3.79,4.12,0,2018,8/4/2018
Minnesota United,1,2,Seattle Sounders,2.45,3.7,3.08,0,2018,8/4/2018
FC Dallas,1,3,San Jose Earthquakes,1.52,4.75,7.67,0,2018,8/4/2018
Colorado Rapids,2,1,Los Angeles Galaxy,2.66,3.68,2.88,0,2018,8/4/2018
Real Salt Lake,2,1,Chicago Fire,1.68,5.3,7.5,0,2018,8/4/2018
Atlanta United FC,2,2,Toronto FC,1.73,4.74,4.89,0,2018,8/4/2018
New York City,2,2,Vancouver Whitecaps,1.45,6.5,11,0,2018,8/4/2018
Portland Timbers,3,0,Philadelphia Union,1.64,4.45,5.77,0,2018,8/4/2018
Orlando City,3,3,New England Revolution,2.16,4.05,3.29,0,2018,8/4/2018
New York Red Bulls,2,1,Los Angeles FC,1.6,5,5.77,0,2018,8/5/2018
Chicago Fire,0,1,New York Red Bulls,4.5,4.25,1.88,0,2018,8/11/2018
Los Angeles FC,0,2,Sporting Kansas City,2.34,3.87,3.3,0,2018,8/11/2018
Columbus Crew,1,0,Dynamo Houston,1.52,4.8,6.95,0,2018,8/11/2018
Real Salt Lake,1,1,Montreal Impact,1.83,4.15,4.6,0,2018,8/11/2018
Portland Timbers,1,2,Vancouver Whitecaps,1.5,4.78,6.9,0,2018,8/11/2018
Colorado Rapids,2,1,San Jose Earthquakes,2.17,3.65,3.75,0,2018,8/11/2018
Los Angeles Galaxy,2,2,Minnesota United,1.4,5.95,7.84,0,2018,8/11/2018
New England Revolution,2,3,Philadelphia Union,1.91,4.11,4.11,0,2018,8/11/2018
Seattle Sounders,2,1,FC Dallas,2.07,3.65,3.76,0,2018,8/12/2018
DC United,3,2,Orlando City,1.61,5.3,6.25,0,2018,8/12/2018
Toronto FC,2,3,New York City,2.23,4.15,3.29,0,2018,8/12/2018
Los Angeles Galaxy,2,2,Colorado Rapids,1.45,5.4,7.5,0,2018,8/14/2018
Los Angeles FC,2,0,Real Salt Lake,1.45,5.5,7.2,0,2018,8/15/2018
DC United,4,1,Portland Timbers,2.13,4.02,3.5,0,2018,8/15/2018
San Jose Earthquakes,1,1,Toronto FC,2.68,3.77,2.95,0,2018,8/18/2018
Dynamo Houston,1,2,Real Salt Lake,1.55,5.65,7,0,2018,8/18/2018
Philadelphia Union,2,0,New York City,2.67,3.9,2.79,0,2018,8/18/2018
FC Dallas,2,0,Minnesota United,1.4,5.5,9,0,2018,8/18/2018
Montreal Impact,2,1,Chicago Fire,1.83,4.16,5.23,0,2018,8/18/2018
Vancouver Whitecaps,2,2,New York Red Bulls,3.2,3.9,2.39,0,2018,8/18/2018
Sporting Kansas City,3,0,Portland Timbers,1.67,5,6.5,0,2018,8/18/2018
Seattle Sounders,5,0,Los Angeles Galaxy,1.76,4.4,5.82,0,2018,8/18/2018
DC United,2,0,New England Revolution,1.96,4.33,4.36,0,2018,8/19/2018
Los Angeles FC,2,0,Colorado Rapids,1.49,5.75,8.22,0,2018,8/19/2018
Atlanta United FC,3,1,Columbus Crew,1.72,4.46,5.27,0,2018,8/19/2018
New York City,1,1,New York Red Bulls,2.3,3.9,3.15,0,2018,8/22/2018
Chicago Fire,1,1,Columbus Crew,3.7,3.85,2.16,0,2018,8/23/2018
Dynamo Houston,1,1,FC Dallas,2.36,3.88,3.42,0,2018,8/23/2018
Los Angeles Galaxy,1,1,Los Angeles FC,2.7,4.16,2.55,0,2018,8/24/2018
Orlando City,1,2,Atlanta United FC,4.06,4.2,1.9,0,2018,8/24/2018
Colorado Rapids,0,6,Real Salt Lake,2.27,3.7,3.3,0,2018,8/25/2018
Philadelphia Union,1,0,New England Revolution,1.76,4.2,4.85,0,2018,8/25/2018
Sporting Kansas City,2,0,Minnesota United,1.31,6.37,11.25,0,2018,8/25/2018
San Jose Earthquakes,2,3,Vancouver Whitecaps,2.27,3.8,3.4,0,2018,8/25/2018
Toronto FC,3,1,Montreal Impact,1.62,4.4,5.72,0,2018,8/25/2018
Portland Timbers,0,1,Seattle Sounders,2.28,3.61,3.61,0,2018,8/26/2018
New York Red Bulls,1,0,DC United,1.58,4.8,6.3,0,2018,8/26/2018
DC United,0,2,Philadelphia Union,2.19,3.8,3.57,0,2018,8/29/2018
New York Red Bulls,1,0,Dynamo Houston,1.66,4.75,7.47,0,2018,8/29/2018
Portland Timbers,2,0,Toronto FC,1.82,4.68,4.75,0,2018,8/29/2018
San Jose Earthquakes,4,3,FC Dallas,3.3,3.75,2.43,0,2018,8/29/2018
New England Revolution,1,1,Portland Timbers,1.69,4.51,5.25,0,2018,9/1/2018
Columbus Crew,2,1,New York City,1.91,4,4.15,0,2018,9/1/2018
Vancouver Whitecaps,2,1,San Jose Earthquakes,1.62,4.75,6,0,2018,9/1/2018
Orlando City,2,2,Philadelphia Union,2.63,3.95,2.77,0,2018,9/1/2018
Toronto FC,2,4,Los Angeles FC,1.81,4.95,4.9,0,2018,9/1/2018
Montreal Impact,3,0,New York Red Bulls,2.91,3.61,2.72,0,2018,9/1/2018
Seattle Sounders,3,1,Sporting Kansas City,2.15,3.5,3.75,0,2018,9/1/2018
FC Dallas,4,2,Dynamo Houston,1.83,3.9,4.6,0,2018,9/1/2018
Real Salt Lake,6,2,Los Angeles Galaxy,2.08,4.1,3.71,0,2018,9/1/2018
DC United,3,1,Atlanta United FC,3.15,4.01,2.27,0,2018,9/2/2018
New York City,0,1,New England Revolution,1.61,4.7,5.65,0,2018,9/5/2018
Sporting Kansas City,1,0,Orlando City,1.45,5.35,7.29,0,2018,9/8/2018
New York City,1,1,DC United,1.68,4.65,5.5,0,2018,9/8/2018
Portland Timbers,2,0,Colorado Rapids,1.46,4.95,7.89,0,2018,9/8/2018
DC United,2,1,Minnesota United,1.64,4.85,7.27,0,2018,9/12/2018
FC Dallas,0,0,Columbus Crew,2.25,3.7,3.42,0,2018,9/15/2018
Colorado Rapids,0,3,Atlanta United FC,4.4,4.2,1.85,0,2018,9/15/2018
Real Salt Lake,1,1,Minnesota United,1.5,5.1,6.85,0,2018,9/15/2018
Los Angeles FC,1,1,New England Revolution,1.53,5.3,6.4,0,2018,9/15/2018
Vancouver Whitecaps,1,2,Seattle Sounders,2.52,3.55,3.06,0,2018,9/15/2018
Philadelphia Union,1,4,Montreal Impact,1.82,4,4.75,0,2018,9/15/2018
San Jose Earthquakes,1,5,Sporting Kansas City,3.3,3.85,2.17,0,2018,9/15/2018
Dynamo Houston,4,1,Portland Timbers,2.09,3.86,3.65,0,2018,9/15/2018
Toronto FC,5,3,Los Angeles Galaxy,1.62,5.18,5.2,0,2018,9/15/2018
DC United,3,3,New York Red Bulls,2.82,3.62,2.62,0,2018,9/16/2018
Chicago Fire,4,0,Orlando City,1.84,4.32,4.15,0,2018,9/16/2018
Seattle Sounders,0,1,Philadelphia Union,1.93,3.94,4.58,0,2018,9/19/2018
Portland Timbers,3,2,Columbus Crew,2.23,3.7,3.7,0,2018,9/19/2018
San Jose Earthquakes,3,4,Atlanta United FC,4.76,4.75,1.67,0,2018,9/19/2018
Orlando City,0,0,Dynamo Houston,2.15,3.9,3.41,0,2018,9/22/2018
Montreal Impact,1,1,New York City,2.37,3.86,2.98,0,2018,9/22/2018
Los Angeles FC,2,0,San Jose Earthquakes,1.29,6.8,11,0,2018,9/22/2018
New York Red Bulls,2,0,Toronto FC,1.61,4.81,5.56,0,2018,9/22/2018
Atlanta United FC,2,0,Real Salt Lake,1.33,6.35,10,0,2018,9/22/2018
Columbus Crew,2,1,Colorado Rapids,1.3,6,12.4,0,2018,9/22/2018
New England Revolution,2,2,Chicago Fire,1.62,4.55,5.55,0,2018,9/22/2018
Minnesota United,3,2,Portland Timbers,2.29,4.13,3.44,0,2018,9/22/2018
Vancouver Whitecaps,1,2,FC Dallas,2.03,4.04,3.7,0,2018,9/23/2018
Los Angeles Galaxy,3,0,Seattle Sounders,2,4.14,3.82,0,2018,9/23/2018
Philadelphia Union,2,0,Sporting Kansas City,3.4,4,2.38,0,2018,9/23/2018
New York City,2,0,Chicago Fire,1.35,5.85,9.36,0,2018,9/26/2018
Columbus Crew,0,0,Philadelphia Union,1.49,4.98,7,0,2018,9/29/2018
Portland Timbers,0,0,FC Dallas,2.3,3.73,3.47,0,2018,9/29/2018
Minnesota United,2,1,New York City,2.58,3.93,2.77,0,2018,9/29/2018
Los Angeles Galaxy,3,0,Vancouver Whitecaps,1.72,5,5.2,0,2018,9/29/2018
Chicago Fire,3,1,Los Angeles FC,3.1,4,2.29,0,2018,9/29/2018
Dynamo Houston,3,2,San Jose Earthquakes,1.79,4.59,5.14,0,2018,9/29/2018
Seattle Sounders,4,0,Colorado Rapids,1.4,5.27,10.02,0,2018,9/29/2018
Toronto FC,4,1,New England Revolution,1.77,4.61,4.8,0,2018,9/29/2018
DC United,5,0,Montreal Impact,2.15,3.84,3.7,0,2018,9/29/2018
New York Red Bulls,2,0,Atlanta United FC,2.6,3.64,2.76,0,2018,9/30/2018
Sporting Kansas City,1,1,Real Salt Lake,1.52,5.3,7.5,0,2018,9/30/2018
Colorado Rapids,0,3,Los Angeles FC,3.7,4.2,1.94,0,2018,10/6/2018
Sporting Kansas City,1,1,Los Angeles Galaxy,1.61,5.08,5.9,0,2018,10/6/2018
Toronto FC,1,2,Vancouver Whitecaps,1.57,5.5,7.5,0,2018,10/6/2018
San Jose Earthquakes,1,3,New York Red Bulls,4.65,4.3,1.79,0,2018,10/6/2018
Real Salt Lake,1,4,Portland Timbers,1.9,4.05,4.03,0,2018,10/6/2018
FC Dallas,2,0,Orlando City,1.49,5.4,7.8,0,2018,10/6/2018
Atlanta United FC,2,1,New England Revolution,1.34,6.25,10,0,2018,10/6/2018
Montreal Impact,3,0,Columbus Crew,2.45,3.51,2.99,0,2018,10/6/2018
Philadelphia Union,5,1,Minnesota United,1.6,4.75,6.25,0,2018,10/6/2018
DC United,2,1,Chicago Fire,1.52,4.75,6.5,0,2018,10/7/2018
Seattle Sounders,4,1,Dynamo Houston,1.58,4.5,5.95,0,2018,10/8/2018
Los Angeles FC,4,2,Dynamo Houston,1.28,6.6,13,0,2018,10/12/2018
New England Revolution,2,0,Orlando City,1.51,5,6.7,0,2018,10/13/2018
Minnesota United,0,2,Colorado Rapids,1.56,4.85,5.92,0,2018,10/13/2018
DC United,1,0,FC Dallas,2.26,3.8,3.47,0,2018,10/13/2018
DC United,1,0,Toronto FC,1.45,5.4,7.65,0,2018,10/17/2018
Orlando City,1,2,Seattle Sounders,2.9,3.68,2.53,0,2018,10/17/2018
Vancouver Whitecaps,1,4,Sporting Kansas City,3.05,3.98,2.33,0,2018,10/17/2018
Real Salt Lake,4,1,New England Revolution,1.88,4.65,4.75,0,2018,10/18/2018
San Jose Earthquakes,0,0,Colorado Rapids,1.94,4.11,3.87,0,2018,10/21/2018
Philadelphia Union,0,1,New York Red Bulls,2.57,3.8,2.97,0,2018,10/21/2018
FC Dallas,0,3,Sporting Kansas City,2.39,3.65,3.13,0,2018,10/21/2018
Minnesota United,1,3,Los Angeles Galaxy,3.25,4.3,2.09,0,2018,10/21/2018
Montreal Impact,2,0,Toronto FC,1.78,4.2,4.5,0,2018,10/21/2018
Atlanta United FC,2,1,Chicago Fire,1.26,6.8,12.87,0,2018,10/21/2018
Orlando City,2,1,Columbus Crew,5,4.46,1.74,0,2018,10/21/2018
Los Angeles FC,2,2,Vancouver Whitecaps,1.31,6.35,9.55,0,2018,10/21/2018
Dynamo Houston,2,3,Seattle Sounders,2.68,3.83,2.63,0,2018,10/21/2018
Portland Timbers,3,0,Real Salt Lake,1.74,4.42,4.51,0,2018,10/21/2018
DC United,3,1,New York City,2.33,3.82,3.05,0,2018,10/21/2018
Chicago Fire,0,0,DC United,2.95,3.88,2.39,0,2018,10/28/2018
New England Revolution,1,0,Montreal Impact,2.58,4.06,2.56,0,2018,10/28/2018
New York Red Bulls,1,0,Orlando City,1.22,7.6,15.72,0,2018,10/28/2018
Colorado Rapids,2,1,FC Dallas,5.2,4.25,1.73,0,2018,10/28/2018
Seattle Sounders,2,1,San Jose Earthquakes,1.23,7.28,16.25,0,2018,10/28/2018
Sporting Kansas City,2,1,Los Angeles FC,1.92,4.13,3.82,0,2018,10/28/2018
Vancouver Whitecaps,2,1,Portland Timbers,1.95,4.37,3.86,0,2018,10/28/2018
Los Angeles Galaxy,2,3,Dynamo Houston,1.35,6.51,10.97,0,2018,10/28/2018
New York City,3,1,Philadelphia Union,1.87,4.15,3.97,0,2018,10/28/2018
Columbus Crew,3,2,Minnesota United,1.25,6.7,13,0,2018,10/28/2018
Toronto FC,4,1,Atlanta United FC,3.51,4.3,1.98,0,2018,10/28/2018
FC Dallas,1,2,Portland Timbers,1.95,3.7,4.5,1,2018,10/31/2018
New York City,3,1,Philadelphia Union,1.71,4.1,5.26,1,2018,10/31/2018
DC United,(2)Ê2,2Ê(3),Columbus Crew,2.45,3.5,2.95,1,2018,11/1/2018
Los Angeles FC,2,3,Real Salt Lake,1.4,5.55,8,1,2018,11/1/2018
Seattle Sounders,(2)Ê3,2Ê(4),Portland Timbers,1.73,4.05,5,1,2018,11/8/2018
New York Red Bulls,3,0,Columbus Crew,1.81,4,4.75,1,2018,11/11/2018
Atlanta United FC,3,1,New York City,1.62,4.5,5.5,1,2018,11/11/2018
Sporting Kansas City,4,2,Real Salt Lake,1.42,5.25,8.5,1,2018,11/11/2018
Portland Timbers,0,0,Sporting Kansas City,2.4,3.5,3.13,1,2018,11/25/2018
Atlanta United FC,3,0,New York Red Bulls,1.75,4.35,5,1,2018,11/25/2018
New York Red Bulls,1,0,Atlanta United FC,1.89,4.2,4.05,1,2018,11/29/2018
Sporting Kansas City,2,3,Portland Timbers,1.54,4.6,6.5,1,2018,11/29/2018
New York Red Bulls,1,0,Atlanta United FC,4.45,4,3.75,1,2018,11/30/2018
Sporting Kansas City,2,3,Portland Timbers,3.04,4.33,5.5,1,2018,11/30/2018
Atlanta United FC,2,0,Portland Timbers,1.42,5.04,8.5,1,2018,12/8/2018
Columbus Crew,1,1,New York Red Bulls,2,4.7,6.25,0,2019,3/2/2019
FC Dallas,1,1,New England Revolution,1.78,4,4.55,0,2019,3/2/2019
Dynamo Houston,1,1,Real Salt Lake,1.81,4.2,4.2,0,2019,3/2/2019
San Jose Earthquakes,1,2,Montreal Impact,2.43,3.6,2.95,0,2019,3/2/2019
Philadelphia Union,1,3,Toronto FC,1.78,4.23,4.6,0,2019,3/2/2019
Los Angeles Galaxy,2,1,Chicago Fire,1.85,3.95,4.33,0,2019,3/2/2019
Orlando City,2,2,New York City,3.05,3.7,2.38,0,2019,3/2/2019
Vancouver Whitecaps,2,3,Minnesota United,2.2,3.6,3.6,0,2019,3/2/2019
Colorado Rapids,3,3,Portland Timbers,2.66,3.5,2.72,0,2019,3/2/2019
Seattle Sounders,4,1,FC Cincinnati,1.61,4.23,5.8,0,2019,3/2/2019
DC United,2,0,Atlanta United FC,2.51,3.64,2.91,0,2019,3/3/2019
Los Angeles FC,2,1,Sporting Kansas City,2.15,3.8,3.36,0,2019,3/3/2019
New England Revolution,0,2,Columbus Crew,2.43,3.6,3,0,2019,3/9/2019
San Jose Earthquakes,0,3,Minnesota United,2.42,3.71,2.95,0,2019,3/9/2019
Real Salt Lake,1,0,Vancouver Whitecaps,1.65,4.4,5.5,0,2019,3/9/2019
Chicago Fire,1,1,Orlando City,1.79,4.15,4.43,0,2019,3/9/2019
FC Dallas,2,0,Los Angeles Galaxy,1.65,4.5,5.5,0,2019,3/9/2019
Seattle Sounders,2,0,Colorado Rapids,1.45,4.85,8,0,2019,3/9/2019
Dynamo Houston,2,1,Montreal Impact,2.34,3.6,3.13,0,2019,3/9/2019
Los Angeles FC,4,1,Portland Timbers,1.68,4.33,5,0,2019,3/10/2019
New York City,0,0,DC United,1.95,3.9,4,0,2019,3/10/2019
Sporting Kansas City,2,0,Philadelphia Union,1.75,4.1,4.62,0,2019,3/10/2019
Atlanta United FC,1,1,FC Cincinnati,1.4,6.3,12,0,2019,3/10/2019
Columbus Crew,1,0,FC Dallas,1.72,3.96,5.4,0,2019,3/16/2019
Orlando City,1,3,Montreal Impact,2.21,3.82,3.2,0,2019,3/16/2019
Chicago Fire,2,4,Seattle Sounders,2.52,3.5,3,0,2019,3/16/2019
Dynamo Houston,3,2,Vancouver Whitecaps,1.7,4.11,5,0,2019,3/16/2019
Los Angeles Galaxy,3,2,Minnesota United,2.62,3.7,2.7,0,2019,3/16/2019
New York Red Bulls,4,1,San Jose Earthquakes,1.36,5.5,12,0,2019,3/16/2019
DC United,5,0,Real Salt Lake,1.68,4.2,5.25,0,2019,3/16/2019
Atlanta United FC,1,1,Philadelphia Union,1.53,4.74,6.25,0,2019,3/17/2019
Colorado Rapids,1,1,Sporting Kansas City,3.17,3.69,2.26,0,2019,3/17/2019
Toronto FC,3,2,New England Revolution,1.72,4.17,4.81,0,2019,3/17/2019
New York City,2,2,Los Angeles FC,2.13,3.85,3.5,0,2019,3/17/2019
FC Cincinnati,3,0,Portland Timbers,2.22,3.82,3.2,0,2019,3/17/2019
New York Red Bulls,0,1,Orlando City,1.48,5,7.5,0,2019,3/23/2019
FC Dallas,2,1,Colorado Rapids,1.62,4.2,5.75,0,2019,3/23/2019
Los Angeles FC,2,1,Real Salt Lake,1.3,6.65,10.5,0,2019,3/23/2019
Philadelphia Union,3,0,Columbus Crew,2.28,3.61,3.2,0,2019,3/23/2019
New England Revolution,0,2,FC Cincinnati,1.66,4.5,5.5,0,2019,3/24/2019
Toronto FC,4,0,New York City,1.91,4.11,4.3,0,2019,3/29/2019
Vancouver Whitecaps,0,0,Seattle Sounders,3.51,3.71,2.16,0,2019,3/30/2019
FC Cincinnati,0,2,Philadelphia Union,2.38,3.62,3.1,0,2019,3/30/2019
Colorado Rapids,1,4,Dynamo Houston,2.64,3.52,2.83,0,2019,3/30/2019
Columbus Crew,2,0,Atlanta United FC,2.15,3.55,3.65,0,2019,3/30/2019
Real Salt Lake,2,4,FC Dallas,2.42,3.55,3.37,0,2019,3/30/2019
Chicago Fire,1,0,New York Red Bulls,2.87,3.52,2.7,0,2019,3/30/2019
New England Revolution,2,1,Minnesota United,2.16,3.8,3.36,0,2019,3/30/2019
Sporting Kansas City,7,1,Montreal Impact,1.6,4.75,5.75,0,2019,3/30/2019
San Jose Earthquakes,0,5,Los Angeles FC,3.65,4.04,2,0,2019,3/30/2019
Orlando City,1,2,DC United,2.57,3.7,2.81,0,2019,3/31/2019
Los Angeles Galaxy,2,1,Portland Timbers,1.8,4.42,4.25,0,2019,3/31/2019
Vancouver Whitecaps,0,2,Los Angeles Galaxy,2.75,3.9,2.5,0,2019,4/5/2019
Columbus Crew,1,0,New England Revolution,1.72,4.2,5.5,0,2019,4/6/2019
Seattle Sounders,1,0,Real Salt Lake,1.44,4.95,8,0,2019,4/6/2019
New York Red Bulls,1,2,Minnesota United,1.56,4.6,6,0,2019,4/6/2019
Philadelphia Union,2,1,FC Dallas,1.83,4.25,5.4,0,2019,4/6/2019
San Jose Earthquakes,3,0,Portland Timbers,3.32,3.82,2.19,0,2019,4/6/2019
Orlando City,4,3,Colorado Rapids,2.01,4.85,5.8,0,2019,4/6/2019
New York City,0,0,Montreal Impact,2.07,3.9,4.53,0,2019,4/6/2019
DC United,0,4,Los Angeles FC,2.38,3.87,2.95,0,2019,4/6/2019
Toronto FC,2,2,Chicago Fire,1.61,4.35,5.5,0,2019,4/6/2019
FC Cincinnati,1,1,Sporting Kansas City,2.61,3.67,3.25,0,2019,4/7/2019
DC United,0,0,Montreal Impact,1.81,3.99,4.8,0,2019,4/9/2019
Chicago Fire,1,1,Vancouver Whitecaps,1.53,4.7,6.25,0,2019,4/12/2019
New England Revolution,0,2,Atlanta United FC,2.67,3.57,3,0,2019,4/13/2019
Los Angeles FC,2,0,FC Cincinnati,1.32,6,9.5,0,2019,4/13/2019
Los Angeles Galaxy,2,0,Philadelphia Union,2.04,3.86,3.6,0,2019,4/13/2019
FC Dallas,2,1,Portland Timbers,1.96,4.08,4.85,0,2019,4/13/2019
Real Salt Lake,2,1,Orlando City,2.02,3.95,3.8,0,2019,4/13/2019
Colorado Rapids,2,3,DC United,2.3,3.64,3.13,0,2019,4/13/2019
Montreal Impact,1,0,Columbus Crew,2.33,3.48,3.31,0,2019,4/13/2019
Dynamo Houston,2,1,San Jose Earthquakes,1.49,5.04,7.5,0,2019,4/13/2019
Seattle Sounders,3,2,Toronto FC,1.81,4.02,4.8,0,2019,4/13/2019
Minnesota United,3,3,New York City,2,3.9,4,0,2019,4/13/2019
Sporting Kansas City,2,2,New York Red Bulls,1.79,4.4,5.2,0,2019,4/14/2019
Vancouver Whitecaps,1,0,Los Angeles FC,4.35,3.97,2.07,0,2019,4/17/2019
FC Cincinnati,0,3,Real Salt Lake,1.78,4.1,4.54,0,2019,4/19/2019
Los Angeles Galaxy,2,1,Dynamo Houston,1.84,4.2,4.33,0,2019,4/19/2019
Toronto FC,4,3,Minnesota United,1.58,4.8,5.4,0,2019,4/19/2019
New England Revolution,1,0,New York Red Bulls,2.59,3.68,3.1,0,2019,4/20/2019
Columbus Crew,1,3,Portland Timbers,1.62,4.22,6,0,2019,4/20/2019
San Jose Earthquakes,4,1,Sporting Kansas City,3.82,4.3,1.9,0,2019,4/20/2019
Chicago Fire,4,1,Colorado Rapids,1.65,4.2,5.33,0,2019,4/20/2019
Philadelphia Union,3,0,Montreal Impact,1.86,3.97,4.75,0,2019,4/20/2019
Orlando City,1,0,Vancouver Whitecaps,1.65,4.57,6.5,0,2019,4/20/2019
Atlanta United FC,1,2,FC Dallas,1.61,4.4,6.3,0,2019,4/20/2019
Los Angeles FC,4,1,Seattle Sounders,1.71,4.2,4.82,0,2019,4/21/2019
DC United,0,2,New York City,2.25,3.78,3.35,0,2019,4/21/2019
Minnesota United,0,0,Los Angeles Galaxy,2.18,3.97,3.26,0,2019,4/24/2019
Columbus Crew,0,1,DC United,1.71,4.05,5.4,0,2019,4/24/2019
New England Revolution,0,3,Montreal Impact,1.9,3.93,4.4,0,2019,4/24/2019
New York City,1,0,Chicago Fire,1.69,4.12,5.25,0,2019,4/24/2019
Seattle Sounders,2,2,San Jose Earthquakes,1.41,5.25,8.5,0,2019,4/24/2019
FC Dallas,0,0,San Jose Earthquakes,1.58,4.6,6.05,0,2019,4/27/2019
Atlanta United FC,1,0,Colorado Rapids,1.3,6.7,12,0,2019,4/27/2019
New York Red Bulls,1,0,FC Cincinnati,1.78,4.32,5.6,0,2019,4/27/2019
New York City,1,1,Orlando City,1.73,4,5.2,0,2019,4/27/2019
Vancouver Whitecaps,1,1,Philadelphia Union,2.62,3.5,2.93,0,2019,4/27/2019
Toronto FC,1,2,Portland Timbers,1.69,4.33,5,0,2019,4/27/2019
Dynamo Houston,2,0,Columbus Crew,1.93,4,4.45,0,2019,4/27/2019
Sporting Kansas City,4,4,New England Revolution,1.42,5.2,8,0,2019,4/27/2019
Los Angeles Galaxy,2,1,Real Salt Lake,1.6,4.52,6.04,0,2019,4/28/2019
Montreal Impact,1,0,Chicago Fire,2.06,3.8,4.33,0,2019,4/28/2019
Minnesota United,1,0,DC United,1.92,3.98,4.25,0,2019,4/28/2019
Seattle Sounders,1,1,Los Angeles FC,2.92,3.65,2.54,0,2019,4/28/2019
Philadelphia Union,2,0,FC Cincinnati,1.67,4.2,6.34,0,2019,5/1/2019
Colorado Rapids,2,3,Vancouver Whitecaps,2.12,3.94,4.08,0,2019,5/3/2019
Los Angeles FC,0,0,Chicago Fire,1.44,5.51,8.5,0,2019,5/4/2019
San Jose Earthquakes,1,0,FC Cincinnati,2.1,4.48,6.25,0,2019,5/4/2019
Minnesota United,1,1,Seattle Sounders,2.26,3.72,3.25,0,2019,5/4/2019
Real Salt Lake,1,2,Portland Timbers,2.34,3.79,3.1,0,2019,5/4/2019
DC United,3,1,Columbus Crew,2.45,3.55,3.45,0,2019,5/4/2019
Philadelphia Union,6,1,New England Revolution,1.57,4.45,6.15,0,2019,5/4/2019
New York Red Bulls,3,2,Los Angeles Galaxy,2.17,3.9,3.84,0,2019,5/4/2019
Dynamo Houston,2,1,FC Dallas,1.95,3.87,4.25,0,2019,5/4/2019
Orlando City,0,2,Toronto FC,2.16,3.9,3.4,0,2019,5/4/2019
Montreal Impact,0,2,New York City,2.32,3.5,3.3,0,2019,5/4/2019
Sporting Kansas City,0,3,Atlanta United FC,2.45,3.75,3,0,2019,5/5/2019
New York Red Bulls,1,2,Montreal Impact,1.9,3.84,4.75,0,2019,5/8/2019
Atlanta United FC,2,0,Toronto FC,1.65,4.93,7,0,2019,5/8/2019
Columbus Crew,3,1,Los Angeles Galaxy,2.17,3.82,3.75,0,2019,5/8/2019
Chicago Fire,5,0,New England Revolution,1.7,4.28,5.29,0,2019,5/8/2019
Vancouver Whitecaps,1,0,Portland Timbers,2.59,3.65,2.8,0,2019,5/10/2019
Columbus Crew,0,3,Los Angeles FC,3.22,3.7,2.53,0,2019,5/11/2019
Seattle Sounders,1,0,Dynamo Houston,2,4.07,4.6,0,2019,5/11/2019
Chicago Fire,2,0,Minnesota United,2.4,3.89,4.17,0,2019,5/11/2019
Colorado Rapids,2,3,Real Salt Lake,2.35,3.75,3.2,0,2019,5/11/2019
New England Revolution,3,1,San Jose Earthquakes,2.2,4.18,3.51,0,2019,5/11/2019
FC Cincinnati,2,1,Montreal Impact,2.55,3.65,3.3,0,2019,5/11/2019
FC Dallas,1,3,New York Red Bulls,2.23,4.2,4.6,0,2019,5/11/2019
Toronto FC,1,2,Philadelphia Union,2.25,3.87,3.63,0,2019,5/11/2019
Los Angeles Galaxy,0,2,New York City,2.12,4,3.7,0,2019,5/11/2019
DC United,1,0,Sporting Kansas City,2.27,3.82,3.43,0,2019,5/12/2019
Atlanta United FC,1,0,Orlando City,1.45,5.83,10,0,2019,5/12/2019
Toronto FC,0,0,DC United,1.74,4.61,6.6,0,2019,5/15/2019
Vancouver Whitecaps,0,1,Atlanta United FC,3.34,3.57,2.25,0,2019,5/15/2019
Dynamo Houston,1,1,Portland Timbers,1.67,4.33,5.25,0,2019,5/15/2019
Seattle Sounders,2,1,Orlando City,1.46,4.87,7.5,0,2019,5/15/2019
Los Angeles FC,2,0,FC Dallas,1.33,5.78,10,0,2019,5/16/2019
Montreal Impact,0,0,New England Revolution,1.7,4.08,5.5,0,2019,5/18/2019
Philadelphia Union,0,0,Seattle Sounders,1.78,4,4.6,0,2019,5/18/2019
Minnesota United,1,0,Columbus Crew,2.17,3.66,3.41,0,2019,5/18/2019
Sporting Kansas City,1,1,Vancouver Whitecaps,1.49,4.75,7,0,2019,5/18/2019
Dynamo Houston,2,1,DC United,1.75,4.1,5,0,2019,5/18/2019
Real Salt Lake,3,0,Toronto FC,2.3,3.86,3.08,0,2019,5/18/2019
San Jose Earthquakes,4,1,Chicago Fire,2.14,3.86,3.3,0,2019,5/18/2019
Los Angeles Galaxy,0,1,Colorado Rapids,1.55,4.5,7,0,2019,5/19/2019
FC Dallas,1,1,Los Angeles FC,4.65,4.2,1.93,0,2019,5/19/2019
Orlando City,5,1,FC Cincinnati,1.88,3.98,4.82,0,2019,5/19/2019
