Home,HomeScore,RoadScore,Road,HomeOdds,DrawOdds,RoadOdds,Playoffs,Season,Date
Toronto FC,1,1,Colorado Rapids,1.5,4.85,9.16,0,2017,7/22/2017
Real Salt Lake,1,1,Sporting Kansas City,2.82,3.43,2.79,0,2017,7/22/2017
Montreal Impact,1,2,FC Dallas,3,3.5,3,0,2017,7/22/2017
DC United,1,3,Dynamo Houston,2.55,3.6,3.1,0,2017,7/22/2017
New England Revolution,4,3,Los Angeles Galaxy,1.73,4.65,6,0,2017,7/22/2017
New York City,2,1,Chicago Fire,1.93,3.92,4.25,0,2017,7/22/2017
Minnesota United,0,3,New York Red Bulls,4.2,4.05,1.94,0,2017,7/22/2017
Vancouver Whitecaps,1,2,Portland Timbers,2.01,3.88,4.15,0,2017,7/23/2017
Seattle Sounders,3,0,San Jose Earthquakes,1.92,3.81,4.32,0,2017,7/23/2017
Philadelphia Union,3,0,Columbus Crew,2.58,3.6,3.1,0,2017,7/26/2017
Los Angeles Galaxy,0,0,Seattle Sounders,2.6,3.6,3,0,2017,7/29/2017
FC Dallas,0,4,Vancouver Whitecaps,1.55,4.8,7.9,0,2017,7/29/2017
San Jose Earthquakes,1,0,Colorado Rapids,1.88,3.72,5.4,0,2017,7/29/2017
Atlanta United FC,1,1,Orlando City,1.63,4.51,5.63,0,2017,7/29/2017
Dynamo Houston,2,2,Portland Timbers,2.01,3.79,4.05,0,2017,7/29/2017
Real Salt Lake,2,2,Columbus Crew,2.04,3.93,4.04,0,2017,7/29/2017
New England Revolution,3,0,Philadelphia Union,1.85,4.2,4.8,0,2017,7/29/2017
Sporting Kansas City,3,2,Chicago Fire,2.08,3.72,3.78,0,2017,7/29/2017
New York Red Bulls,4,0,Montreal Impact,1.6,4.55,5.94,0,2017,7/29/2017
Minnesota United,4,0,DC United,2.76,3.66,2.93,0,2017,7/29/2017
Toronto FC,4,0,New York City,1.94,4.1,4.65,0,2017,7/30/2017
Real Salt Lake,0,0,Dynamo Houston,2.26,3.9,4.07,0,2017,8/5/2017
Minnesota United,0,4,Seattle Sounders,4.25,4.05,2,0,2017,8/5/2017
DC United,1,1,Toronto FC,4.08,3.78,2.2,0,2017,8/5/2017
Montreal Impact,2,1,Orlando City,2.05,3.83,3.94,0,2017,8/5/2017
San Jose Earthquakes,2,1,Columbus Crew,2.15,3.73,3.55,0,2017,8/5/2017
Colorado Rapids,2,2,Vancouver Whitecaps,2.28,3.51,3.48,0,2017,8/5/2017
Philadelphia Union,3,1,FC Dallas,2.76,3.5,2.9,0,2017,8/5/2017
Chicago Fire,4,1,New England Revolution,1.7,4.4,5.25,0,2017,8/5/2017
Sporting Kansas City,1,1,Atlanta United FC,2.12,3.93,4.84,0,2017,8/6/2017
New York City,3,2,New York Red Bulls,1.99,3.86,4,0,2017,8/6/2017
Portland Timbers,3,1,Los Angeles Galaxy,1.55,5.1,6.82,0,2017,8/6/2017
FC Dallas,0,0,Colorado Rapids,1.5,4.85,9.26,0,2017,8/12/2017
Los Angeles Galaxy,0,2,New York City,2.72,3.78,2.72,0,2017,8/12/2017
Philadelphia Union,0,3,Montreal Impact,1.91,4.15,4.6,0,2017,8/12/2017
Seattle Sounders,1,0,Sporting Kansas City,1.77,4.3,7,0,2017,8/12/2017
New England Revolution,1,0,Vancouver Whitecaps,1.73,4.2,5.41,0,2017,8/12/2017
Dynamo Houston,3,0,San Jose Earthquakes,1.73,4.1,5.4,0,2017,8/12/2017
Columbus Crew,3,1,Chicago Fire,2.27,3.9,3.61,0,2017,8/12/2017
New York Red Bulls,3,1,Orlando City,1.62,4.9,7.75,0,2017,8/12/2017
Toronto FC,4,1,Portland Timbers,1.67,4.54,6.09,0,2017,8/12/2017
Montreal Impact,3,0,Chicago Fire,2.46,3.7,3,0,2017,8/16/2017
Portland Timbers,2,0,New York Red Bulls,2.08,4.05,3.9,0,2017,8/18/2017
Colorado Rapids,0,1,DC United,1.88,3.7,4.6,0,2017,8/19/2017
Orlando City,1,1,Columbus Crew,2.25,3.76,3.28,0,2017,8/19/2017
Chicago Fire,1,3,Toronto FC,2.8,3.7,2.88,0,2017,8/19/2017
Sporting Kansas City,2,0,FC Dallas,2.16,3.5,3.72,0,2017,8/19/2017
Vancouver Whitecaps,2,1,Dynamo Houston,2.11,3.71,3.67,0,2017,8/19/2017
San Jose Earthquakes,2,2,Philadelphia Union,1.8,4.16,5.09,0,2017,8/19/2017
Montreal Impact,3,1,Real Salt Lake,2,4,3.86,0,2017,8/19/2017
New York City,2,1,New England Revolution,1.72,4.64,5.11,0,2017,8/20/2017
Seattle Sounders,2,1,Minnesota United,1.29,8.03,15,0,2017,8/20/2017
DC United,1,0,Atlanta United FC,3.18,3.8,2.6,0,2017,8/23/2017
Vancouver Whitecaps,1,1,Seattle Sounders,2.49,3.56,3.05,0,2017,8/23/2017
Columbus Crew,2,0,Los Angeles Galaxy,1.72,4.65,5.55,0,2017,8/23/2017
Portland Timbers,2,1,Colorado Rapids,1.58,4.9,8.07,0,2017,8/23/2017
Toronto FC,3,0,Philadelphia Union,1.44,5.55,9,0,2017,8/23/2017
FC Dallas,3,3,Dynamo Houston,1.7,4.18,5.4,0,2017,8/23/2017
Real Salt Lake,4,0,San Jose Earthquakes,1.89,3.88,5,0,2017,8/23/2017
New York Red Bulls,1,1,New York City,2.15,3.84,3.75,0,2017,8/25/2017
DC United,1,0,New England Revolution,2.45,3.6,3.4,0,2017,8/26/2017
Orlando City,1,2,Vancouver Whitecaps,2.25,4.17,4.96,0,2017,8/26/2017
Chicago Fire,1,2,Minnesota United,1.35,6.45,11.05,0,2017,8/26/2017
Columbus Crew,2,1,FC Dallas,2.11,3.84,3.62,0,2017,8/26/2017
Philadelphia Union,2,2,Atlanta United FC,2.65,3.78,2.88,0,2017,8/26/2017
Real Salt Lake,4,1,Colorado Rapids,1.65,4.4,6.5,0,2017,8/26/2017
Los Angeles Galaxy,0,3,San Jose Earthquakes,2.12,3.8,3.92,0,2017,8/27/2017
Seattle Sounders,1,1,Portland Timbers,1.74,4.25,5.46,0,2017,8/27/2017
Montreal Impact,1,3,Toronto FC,3.16,3.8,2.4,0,2017,8/27/2017
Montreal Impact,0,1,Chicago Fire,2.22,3.83,3.5,0,2017,9/2/2017
FC Dallas,2,2,New York Red Bulls,2,3.87,4.2,0,2017,9/2/2017
Los Angeles Galaxy,3,0,Colorado Rapids,1.83,4.05,5.4,0,2017,9/2/2017
New England Revolution,4,0,Orlando City,1.82,4.33,5.18,0,2017,9/2/2017
New York City,1,0,Sporting Kansas City,2.46,3.5,3.6,0,2017,9/6/2017
New York City,0,1,Portland Timbers,2.19,3.9,3.85,0,2017,9/9/2017
Dynamo Houston,0,1,Colorado Rapids,1.44,5.05,9.5,0,2017,9/9/2017
New England Revolution,1,0,Montreal Impact,1.87,4.07,4.84,0,2017,9/9/2017
Chicago Fire,1,1,New York Red Bulls,2.2,3.77,3.4,0,2017,9/9/2017
Minnesota United,1,1,Philadelphia Union,2.78,3.62,2.7,0,2017,9/9/2017
DC United,1,2,Orlando City,2.13,3.89,3.75,0,2017,9/9/2017
Vancouver Whitecaps,3,2,Real Salt Lake,2.07,3.85,3.75,0,2017,9/9/2017
Toronto FC,4,0,San Jose Earthquakes,1.42,6.55,12,0,2017,9/9/2017
Seattle Sounders,1,1,Los Angeles Galaxy,1.44,5.65,9,0,2017,9/10/2017
Columbus Crew,1,1,Sporting Kansas City,2.09,3.55,3.96,0,2017,9/10/2017
Atlanta United FC,3,0,FC Dallas,2.15,3.71,3.64,0,2017,9/10/2017
Vancouver Whitecaps,3,0,Minnesota United,1.53,4.83,6.72,0,2017,9/13/2017
Atlanta United FC,7,0,New England Revolution,1.6,4.44,5.9,0,2017,9/13/2017
FC Dallas,0,0,Seattle Sounders,1.95,3.85,4.45,0,2017,9/16/2017
Los Angeles Galaxy,0,4,Toronto FC,2.91,3.75,2.5,0,2017,9/16/2017
San Jose Earthquakes,1,0,Dynamo Houston,2.37,3.67,3.3,0,2017,9/16/2017
Colorado Rapids,1,1,New York City,2.85,3.59,2.63,0,2017,9/16/2017
Real Salt Lake,2,1,Portland Timbers,2.08,3.76,3.77,0,2017,9/16/2017
Vancouver Whitecaps,2,2,Columbus Crew,2.26,3.8,3.52,0,2017,9/16/2017
Montreal Impact,2,3,Minnesota United,1.44,6.15,10.02,0,2017,9/16/2017
Chicago Fire,3,0,DC United,1.66,4.25,6.14,0,2017,9/16/2017
Sporting Kansas City,3,1,New England Revolution,1.61,4.4,6.13,0,2017,9/16/2017
Atlanta United FC,3,3,Orlando City,1.52,5,6.7,0,2017,9/16/2017
New York Red Bulls,0,0,Philadelphia Union,1.81,4.03,5.56,0,2017,9/17/2017
Toronto FC,3,5,Montreal Impact,1.57,4.75,7.3,0,2017,9/20/2017
