NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Mike Lorenzo-Vera,39,2017,24500,0,1,4,1,0,0,71.5,0,0,0,0,0,2.75
Yusaku Miyazato,43,2017,24301,0,3,8,1,0,0,73.5,0,0,0,0,0,2.375
Stephan Jaeger,34,2017,24301,0,2,6,1,0,0,74,0,0,0,0,0,2.167
Tommy Gainey,48,2017,23717,0,8,18,2,0,0,71.2,0,0,0,0,0,3.611
Kevin Dougherty,32,2017,23696,0,2,6,1,0,0,73.7,0,0,0,0,0,2.333
Joe Dean,--,2017,23556,0,1,4,1,0,0,71.8,0,0,0,0,0,3.25
Joseph Bramlett,35,2017,23516,0,1,4,1,0,0,70,0,0,0,0,0,4.25
Talor Gooch,32,2017,23213,0,1,4,1,0,0,75.3,0,0,0,0,0,3
Tyler Light,33,2017,22971,0,1,4,1,0,0,75.8,0,0,0,0,0,3.25
Ryan Fox,37,2017,22875,0,2,6,1,0,0,72.7,0,0,0,0,0,2.667
Kent Bulle,35,2017,22850,0,1,4,1,0,0,72.5,0,0,0,0,0,1.75
Dylan Frittelli,33,2017,20800,0,2,6,1,0,0,73.5,0,0,0,0,0,2.667
Omar Uresti,55,2017,19250,0,2,6,1,0,0,73.2,0,0,0,0,0,3.167
Max Homa,33,2017,18008,0,17,37,2,0,0,72.9,0,0,0,0,0,2.784
Wyndham Clark,30,2017,16934,0,5,10,1,0,0,72.1,0,0,0,0,0,3.2
Justin Lower,34,2017,16425,0,1,4,1,0,0,72.8,0,0,0,0,0,2.5
Josh Teater,44,2017,16253,0,2,6,1,0,0,69.2,0,0,0,0,0,4.5
Carlos Ortiz,32,2017,15820,0,1,4,1,0,0,69.8,0,0,0,0,0,3.75
Abraham Ancer,33,2017,15820,0,1,4,1,0,0,69.8,0,0,0,0,0,4
Gaganjeet Bhullar,--,2017,15750,0,1,4,1,0,0,71.3,0,0,0,0,0,3.25
Alex Moon,--,2017,15375,0,1,4,1,0,0,71.3,0,0,0,0,0,3
Shane Bertsch,53,2017,15328,0,9,18,1,0,0,72.3,0,0,0,0,0,2.5
D.J. Trahan,43,2017,15155,0,5,11,1,0,0,71.2,0,0,0,0,0,3.818
Dan Obremski,--,2017,14981,0,1,4,1,0,0,70.3,0,0,0,0,0,3.75
Brendon Todd,38,2017,14925,0,9,18,1,0,0,69.3,0,0,0,0,0,2.278
Gavin Green,30,2017,14070,0,3,8,1,0,0,73.6,0,0,0,0,0,3
Charlie Beljan,39,2017,13869,0,8,18,1,0,0,73.8,0,0,0,0,0,2.5
S.S.P. Chawrasia,45,2017,13860,0,1,4,1,0,0,72.5,0,0,0,0,0,3
Justin Leonard,51,2017,13702,0,1,4,1,0,0,73.5,0,0,0,0,0,3
Colt Knost,38,2017,13580,0,5,12,1,0,0,66,0,0,0,0,0,3.25
Michael Bradley,57,2017,13514,0,3,8,1,0,0,71.1,0,0,0,0,0,3.75
Danny Chia,51,2017,12880,0,1,4,1,0,0,76.3,0,0,0,0,0,2.5
Kenny Pigman,--,2017,12586,0,2,6,1,0,0,72.8,0,0,0,0,0,4.167
Troy Matteson,44,2017,12376,0,4,8,1,0,0,70.8,0,0,0,0,0,3.125
Chip Deason,--,2017,12352,0,2,5,1,0,0,71.2,0,0,0,0,0,3.2
Bobby Gates,38,2017,12352,0,5,11,1,0,0,72.4,0,0,0,0,0,2.364
Jared Sawada,33,2017,12000,0,1,4,1,0,0,69.5,0,0,0,0,0,3.25
Chris Evans,--,2017,11890,0,1,4,1,0,0,70.8,0,0,0,0,0,3.75
Grant Leaver,--,2017,11326,0,1,4,1,0,0,68.5,0,0,0,0,0,4.5
Matt Gilchrest,--,2017,11326,0,1,4,1,0,0,68.5,0,0,0,0,0,5
Fred Funk,67,2017,11280,0,1,3,1,0,0,69,0,0,0,0,0,2.667
Hyung-Sung Kim,43,2017,11280,0,1,3,1,0,0,69,0,0,0,0,0,2.667
Anders Albertson,30,2017,11280,0,1,3,1,0,0,70,0,0,0,0,0,3.667
Dru Love,--,2017,10788,0,5,9,1,0,0,71.4,0,0,0,0,0,3.444
Tim Petrovic,57,2017,9984,0,2,4,1,0,0,71,0,0,0,0,0,3.5
David Toms,57,2017,9984,0,3,8,1,0,0,71.1,0,0,0,0,0,3.25
George McNeill,48,2017,9984,0,7,17,1,0,0,71.2,0,0,0,0,0,3.059
Eric Axley,49,2017,9198,0,4,8,1,0,0,71.5,0,0,0,0,0,3.125
John Rollins,48,2017,8736,0,6,11,1,0,0,65.5,0,0,0,0,0,2.273
Matt Atkins,33,2017,8190,0,1,4,1,0,0,72.3,0,0,0,0,0,4.25
Peter Lonard,56,2017,7524,0,1,0,0,0,0,0,0,0,0,0,0,0
Cody Blick,--,2017,7128,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris Smith,54,2017,6755,0,2,3,1,0,0,70.3,0,0,0,0,0,3.333
Shaun Micheel,55,2017,6300,0,3,7,1,0,0,72.4,0,0,0,0,0,3
Cyril Bouniol,--,2017,5790,0,1,3,1,0,0,71,0,0,0,0,0,3.333
