NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Louis Oosthuizen,41,2017,3105422,0,18,62,16,4,0,70.7,296.3,61.3,65.2,1.787,61.2,3.258
Patrick Reed,33,2017,3055111,416,29,100,24,4,0,70.6,295.6,57.2,62.2,1.744,51.1,3.75
Gary Woodland,39,2017,2980226,321,26,90,22,5,0,69.7,307.6,59.3,69.5,1.807,60.7,3.644
Jason Day,36,2017,2978181,514,20,67,16,5,0,69.4,306.2,53.9,63.7,1.716,53.9,4.09
Jhonattan Vegas,39,2017,2944738,384,29,91,19,4,1,70.2,301.3,57.7,65.9,1.805,45.7,3.56
Brendan Steele,40,2017,2907095,0,25,85,20,4,1,69.7,300.4,62.9,67.3,1.785,43.3,3.765
Francesco Molinari,41,2017,2875850,0,21,72,17,5,0,70.1,292.4,70.1,67.3,1.768,53.8,3.861
Bill Haas,41,2017,2842173,0,25,85,20,4,0,70.2,293,59.3,67.9,1.792,53.6,3.471
Tony Finau,34,2017,2838629,510,29,105,24,8,0,69.2,309.2,57.5,69,1.764,52,3.952
Henrik Stenson,47,2017,2769771,0,15,46,9,3,1,67.1,0,0,0,0,0,3.826
Billy Horschel,37,2017,2697960,0,28,87,16,4,1,70.2,300.1,60.1,67.9,1.807,44.9,3.345
Si Woo Kim,28,2017,2681177,0,30,77,14,2,1,70.6,289.8,57,59.6,1.794,47.9,3.026
Charles Howell III,44,2017,2606383,0,23,82,20,5,0,70.1,296.9,54.7,67,1.772,51.4,3.512
Wesley Bryan,33,2017,2495751,0,28,91,18,5,1,70.9,279.8,57.9,60.5,1.748,55.3,3.396
Rory McIlroy,34,2017,2430182,0,14,48,12,6,0,70.1,317.2,55.1,65.6,1.772,63.2,3.854
Zach Johnson,48,2017,2362968,0,23,77,17,4,0,70.6,286.9,67.5,64.2,1.747,51.6,3.532
Mackenzie Hughes,33,2017,2355553,0,31,105,22,2,1,70.2,294.3,59.6,64.7,1.779,47,3.562
Hudson Swafford,36,2017,2246090,0,28,90,18,4,1,70.5,305.1,60.3,68.2,1.776,51.5,3.689
Charl Schwartzel,39,2017,2156036,0,18,60,14,3,0,70.8,299.1,54.3,61.8,1.763,57.6,3.617
Cameron Smith,30,2017,2123216,0,26,82,15,4,1,70.7,292.6,56.3,63.1,1.737,49.2,3.817
Phil Mickelson,53,2017,2102599,0,22,80,20,5,0,70.4,293.5,55,62.8,1.734,53.3,3.863
Ian Poulter,48,2017,2098346,0,20,68,15,2,0,70.1,283.5,62.6,64.5,1.778,59.3,3.456
Tommy Fleetwood,33,2017,2094455,0,10,32,8,3,0,71.2,0,0,0,0,0,3.188
Thomas Pieters,32,2017,2058070,0,12,33,7,4,0,68.5,0,0,0,0,0,3.667
Patrick Cantlay,32,2017,2049632,296,13,48,12,4,0,70,298.9,61.5,69.2,1.756,51.1,3.729
Lucas Glover,44,2017,1955823,0,26,90,20,4,0,70.2,298.6,65.4,69.9,1.782,49.3,3.7
Anirban Lahiri,36,2017,1944289,0,22,72,14,3,0,70.7,297,59.8,63.4,1.73,52.3,3.958
Sung Kang,36,2017,1943309,0,32,103,20,3,0,69.8,296.4,59.6,66.1,1.772,51.4,3.66
Keegan Bradley,37,2017,1940478,0,29,103,23,5,0,69.6,299.8,66.8,68.6,1.775,48.8,3.718
